respondent,gender,region,important,prefer_comma,heard_comma,care_comma,write_following,data_noun,care_data,care_grammar,age,income,education
256,Male,Middle Atlantic,Yes,Yes,Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,A lot,Very important,19,160010,Bachelor degree
257,Male,Pacific,Yes,Yes,No,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Some,Very important,84,125193,Graduate degree
258,not Male,South Atlantic,No,No,No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Some,Somewhat important,66,34815,Some college or Associate degree
259,not Male,South Atlantic,No,No,No,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Somewhat important,83,136805,Graduate degree
260,Male,South Atlantic,Yes,Yes,No,Not at all,"Some experts say it's important to drink milk, but the data are inconclusive.",Plural,Not at all,Very important,42,33697,Some college or Associate degree
261,not Male,South Atlantic,Yes,Yes,Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,A lot,Very important,57,53645,Some college or Associate degree
262,Male,Pacific,No,Yes,Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Somewhat important,58,44159,NA
263,Male,South Atlantic,Yes,Yes,No,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Some,Very important,23,35718,High school degree
264,Male,South Atlantic,Yes,Yes,Yes,Not much,"Some experts say it's important to drink milk, but the data are inconclusive.",Plural,Not much,Very important,37,99669,Graduate degree
265,not Male,Middle Atlantic,No,No,No,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Somewhat important,45,71997,Bachelor degree
266,Male,West South Central,No,Yes,Yes,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not at all,Very unimportant,44,42056,Graduate degree
267,Male,East North Central,Yes,Yes,Yes,A lot,"Some experts say it's important to drink milk, but the data are inconclusive.",Plural,A lot,Very important,51,78655,High school degree
268,not Male,New England,Yes,No,Yes,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Some,Very important,66,61144,Graduate degree
269,not Male,West South Central,Yes,No,Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,A lot,Very important,73,52600,Some college or Associate degree
270,not Male,South Atlantic,Yes,Yes,No,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Very important,57,148879,Some college or Associate degree
271,not Male,South Atlantic,Yes,Yes,No,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Some,Very important,41,134212,Graduate degree
272,Male,Pacific,Yes,Yes,Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Very important,54,84401,Some college or Associate degree
273,not Male,East North Central,No,Yes,No,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Neutral,77,56784,Bachelor degree
274,not Male,West North Central,Yes,Yes,Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Some,Very important,48,194067,Bachelor degree
275,not Male,South Atlantic,Yes,Yes,Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Some,Very important,51,60422,Graduate degree
276,Male,Middle Atlantic,Yes,No,No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Some,Very important,46,83794,Some college or Associate degree
277,not Male,East North Central,Yes,Yes,Yes,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not at all,Very important,54,50278,Graduate degree
278,not Male,Pacific,Yes,Yes,Yes,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not at all,Very important,34,164484,Bachelor degree
279,Male,South Atlantic,No,Yes,No,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Somewhat important,63,195294,Bachelor degree
280,not Male,West South Central,Yes,Yes,Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Some,Very important,53,183511,Bachelor degree
281,not Male,New England,Yes,Yes,No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Very important,81,144249,Some college or Associate degree
282,Male,New England,Yes,Yes,No,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not at all,Very important,58,172924,Graduate degree
283,not Male,Middle Atlantic,No,No,No,Not at all,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not at all,Somewhat important,42,53351,High school degree
284,Male,New England,Yes,Yes,Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not at all,Very important,66,85217,Graduate degree
285,not Male,West North Central,Yes,No,Yes,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Very important,56,199223,Some college or Associate degree
286,not Male,East North Central,Yes,No,Yes,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,A lot,Very important,47,147291,Bachelor degree
287,Male,Pacific,Yes,Yes,Yes,A lot,"Some experts say it's important to drink milk, but the data are inconclusive.",Plural,A lot,Very important,38,73471,Bachelor degree
288,not Male,Pacific,Yes,No,No,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Very important,22,50293,Graduate degree
289,Male,East North Central,Yes,No,No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not at all,Very important,20,163973,Bachelor degree
290,Male,Pacific,No,No,Yes,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Some,Somewhat important,38,99079,Bachelor degree
291,Male,South Atlantic,Yes,Yes,Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Very important,35,30970,Some college or Associate degree
292,Male,East North Central,Yes,No,Yes,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Some,Very important,18,24873,High school degree
293,not Male,East North Central,No,Yes,Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Somewhat important,19,20266,Graduate degree
294,Male,South Atlantic,Yes,Yes,No,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Very important,53,67403,Bachelor degree
295,Male,West South Central,No,No,No,Not much,"Some experts say it's important to drink milk, but the data are inconclusive.",Plural,A lot,Somewhat important,29,159192,Graduate degree
296,not Male,East South Central,No,No,No,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Some,Somewhat important,28,95599,Some college or Associate degree
297,Male,East North Central,No,Yes,No,Not much,"Some experts say it's important to drink milk, but the data are inconclusive.",Plural,Some,Neutral,32,18583,High school degree
298,not Male,West North Central,Yes,No,Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Some,Very important,58,187944,Bachelor degree
299,not Male,South Atlantic,No,No,No,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Neutral,18,21025,Less than high school degree
300,not Male,East North Central,Yes,Yes,Yes,A lot,"Some experts say it's important to drink milk, but the data are inconclusive.",Plural,Some,Very important,55,194476,Bachelor degree
301,not Male,East North Central,Yes,Yes,Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Very important,28,19290,Graduate degree
302,not Male,East North Central,No,Yes,Yes,Some,"Some experts say it's important to drink milk, but the data are inconclusive.",Plural,Not much,Somewhat important,25,67504,Graduate degree
303,not Male,New England,Yes,Yes,Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,A lot,Very important,59,185015,Graduate degree
304,Male,West South Central,No,Yes,Yes,Not at all,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not at all,Somewhat important,43,56654,Some college or Associate degree
305,not Male,West South Central,Yes,Yes,No,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not at all,Very important,45,154366,Graduate degree
306,not Male,East North Central,Yes,No,No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,A lot,Very important,26,76181,Some college or Associate degree
307,not Male,West North Central,Yes,No,Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,A lot,Very important,21,115326,Graduate degree
308,not Male,South Atlantic,Yes,No,Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Very important,58,69867,Bachelor degree
309,not Male,West North Central,Yes,Yes,Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Some,Very important,35,62023,Bachelor degree
310,Male,Pacific,Yes,No,Yes,Not at all,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Some,Very important,22,119019,Bachelor degree
311,Male,East North Central,No,Yes,No,Not at all,"Some experts say it's important to drink milk, but the data are inconclusive.",Plural,Not at all,Very unimportant,25,113283,Less than high school degree
312,not Male,West South Central,No,No,Yes,Not at all,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not at all,Somewhat important,56,195166,Graduate degree
313,Male,Middle Atlantic,No,No,Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not at all,Somewhat important,27,156792,Bachelor degree
314,Male,Pacific,No,No,No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Somewhat important,52,82293,Bachelor degree
315,not Male,Pacific,No,Yes,Yes,Some,"Some experts say it's important to drink milk, but the data are inconclusive.",Plural,Some,Somewhat important,27,45194,Bachelor degree
316,not Male,East North Central,Yes,Yes,Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Very important,33,44684,Some college or Associate degree
317,Male,Middle Atlantic,Yes,Yes,Yes,Some,"Some experts say it's important to drink milk, but the data are inconclusive.",Plural,Some,Very important,29,91132,Graduate degree
318,not Male,Pacific,Yes,Yes,Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Some,Very important,36,35807,Bachelor degree
319,not Male,South Atlantic,Yes,Yes,Yes,A lot,"Some experts say it's important to drink milk, but the data are inconclusive.",Plural,Not at all,Very important,28,68973,Graduate degree
320,not Male,Pacific,Yes,Yes,Yes,Some,"Some experts say it's important to drink milk, but the data are inconclusive.",Plural,Not at all,Very important,46,37678,Some college or Associate degree
321,not Male,East North Central,Yes,No,No,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Very important,60,73197,Some college or Associate degree
322,Male,East North Central,Yes,Yes,Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Some,Very important,19,21260,Graduate degree
323,Male,New England,Yes,Yes,Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Some,Very important,43,18070,Bachelor degree
324,Male,Mountain,No,Yes,Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not at all,Somewhat important,28,22186,Some college or Associate degree
325,not Male,Pacific,Yes,Yes,Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Some,Very important,49,78728,Bachelor degree
326,not Male,East North Central,No,No,Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Some,Somewhat important,48,57785,Graduate degree
327,Male,Pacific,Yes,No,Yes,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Very important,47,91797,Some college or Associate degree
328,not Male,Middle Atlantic,Yes,No,No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Some,Very important,22,42567,High school degree
329,not Male,Mountain,Yes,Yes,No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Some,Very important,39,37544,Bachelor degree
330,not Male,West North Central,Yes,Yes,No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Very important,57,19600,Some college or Associate degree
331,Male,Middle Atlantic,Yes,Yes,No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Very important,28,49955,Some college or Associate degree
332,Male,East South Central,No,No,Yes,Not at all,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not at all,Somewhat important,22,196117,Graduate degree
333,not Male,South Atlantic,Yes,No,No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Very important,19,21442,Bachelor degree
334,Male,South Atlantic,No,No,Yes,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Somewhat important,25,87619,Bachelor degree
335,not Male,East South Central,Yes,Yes,Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Some,Very important,29,100458,Bachelor degree
336,Male,East North Central,Yes,No,Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Some,Very important,29,41187,Some college or Associate degree
337,not Male,Middle Atlantic,No,Yes,No,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Somewhat important,24,43528,Some college or Associate degree
338,Male,East North Central,Yes,No,Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not at all,Very important,52,92528,Some college or Associate degree
339,Male,East North Central,No,Yes,No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Somewhat important,23,67153,High school degree
340,not Male,West South Central,Yes,No,No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Very important,57,114432,Graduate degree
341,not Male,South Atlantic,Yes,Yes,Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Some,Very important,48,70550,Bachelor degree
342,not Male,Middle Atlantic,Yes,No,No,Some,"Some experts say it's important to drink milk, but the data are inconclusive.",Plural,Some,Very important,20,20580,Some college or Associate degree
343,Male,New England,No,Yes,No,Not much,"Some experts say it's important to drink milk, but the data are inconclusive.",Plural,Some,Somewhat important,48,199994,Graduate degree
344,not Male,East North Central,No,Yes,Yes,A lot,"Some experts say it's important to drink milk, but the data are inconclusive.",Plural,Not much,Somewhat important,24,70969,Graduate degree
345,Male,West North Central,Yes,Yes,Yes,Some,"Some experts say it's important to drink milk, but the data are inconclusive.",Plural,Some,Very important,22,23255,Graduate degree
346,not Male,Pacific,No,No,No,Not at all,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Somewhat important,55,24918,Some college or Associate degree
347,not Male,East North Central,Yes,Yes,Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Some,Very important,43,52492,Bachelor degree
348,not Male,West South Central,Yes,Yes,Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Very important,44,23811,Graduate degree
349,Male,West North Central,Yes,No,Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not at all,Very important,37,63072,Bachelor degree
350,not Male,Middle Atlantic,No,Yes,Yes,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Some,Somewhat important,53,188546,Graduate degree
351,not Male,Middle Atlantic,Yes,Yes,Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Some,Very important,21,47350,Bachelor degree
352,Male,West North Central,Yes,Yes,Yes,Some,"Some experts say it's important to drink milk, but the data are inconclusive.",Plural,Some,Very important,54,85175,Bachelor degree
353,not Male,Mountain,Yes,Yes,Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not at all,Very important,43,20383,Bachelor degree
354,not Male,East North Central,No,Yes,Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Somewhat important,52,41118,Graduate degree
355,not Male,Middle Atlantic,Yes,No,Yes,A lot,"Some experts say it's important to drink milk, but the data are inconclusive.",Plural,A lot,Very important,55,58678,Bachelor degree
356,Male,Middle Atlantic,Yes,No,Yes,Not at all,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not at all,Very important,32,100009,Some college or Associate degree
357,not Male,Pacific,Yes,Yes,Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Some,Very important,48,71689,Graduate degree
358,not Male,Middle Atlantic,No,Yes,Yes,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not at all,Somewhat important,36,81017,Bachelor degree
359,not Male,East North Central,Yes,Yes,Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Very important,18,70525,Graduate degree
360,not Male,West North Central,Yes,No,Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Some,Very important,50,34564,Some college or Associate degree
361,not Male,East North Central,Yes,Yes,No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Very important,48,121105,High school degree
362,not Male,Pacific,Yes,Yes,Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Some,Very important,54,91790,Bachelor degree
363,not Male,West South Central,Yes,Yes,Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Very important,20,60758,Some college or Associate degree
364,Male,West North Central,Yes,Yes,No,Not at all,"Some experts say it's important to drink milk, but the data are inconclusive.",Plural,Not much,Very important,27,44820,Graduate degree
365,not Male,East North Central,Yes,Yes,Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Some,Very important,59,51978,High school degree
366,not Male,South Atlantic,Yes,No,No,Some,"Some experts say it's important to drink milk, but the data are inconclusive.",Plural,Some,Very important,26,28701,Some college or Associate degree
367,not Male,East North Central,Yes,No,Yes,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Very important,22,94143,Graduate degree
368,Male,West South Central,No,No,No,Not at all,"Some experts say it's important to drink milk, but the data are inconclusive.",Plural,Not at all,Somewhat important,48,174793,Bachelor degree
369,not Male,East North Central,Yes,No,No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not at all,Very important,47,109869,Bachelor degree
370,Male,Pacific,Yes,Yes,No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not at all,Very important,50,90824,Graduate degree
371,not Male,Middle Atlantic,Yes,Yes,Yes,A lot,"Some experts say it's important to drink milk, but the data are inconclusive.",Plural,A lot,Very important,50,53718,Some college or Associate degree
372,not Male,West North Central,Yes,Yes,Yes,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Some,Very important,38,73070,Some college or Associate degree
374,Male,East North Central,No,No,Yes,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Somewhat important,19,59517,Graduate degree
375,not Male,Pacific,Yes,Yes,Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Very important,27,62731,Some college or Associate degree
376,not Male,Middle Atlantic,Yes,No,No,Not at all,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,A lot,Very important,25,53406,Graduate degree
377,not Male,Middle Atlantic,Yes,No,Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Very important,18,96276,Some college or Associate degree
378,Male,Pacific,No,Yes,Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Some,Somewhat important,19,93964,Graduate degree
379,not Male,East South Central,Yes,Yes,Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Very important,34,33720,Some college or Associate degree
380,Male,New England,No,Yes,No,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Somewhat important,43,55386,Bachelor degree
381,not Male,Pacific,Yes,No,No,Not at all,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,A lot,Very important,24,44933,Graduate degree
382,Male,West South Central,No,Yes,Yes,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Somewhat important,51,117664,Graduate degree
383,Male,Middle Atlantic,No,No,No,Not at all,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Some,Somewhat important,58,96534,Some college or Associate degree
384,not Male,Pacific,Yes,No,Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Very important,21,28831,Some college or Associate degree
385,Male,Pacific,Yes,No,Yes,A lot,"Some experts say it's important to drink milk, but the data are inconclusive.",Plural,Not at all,Very important,24,99456,Graduate degree
386,Male,New England,Yes,Yes,Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Very important,42,140133,Graduate degree
387,Male,West North Central,Yes,No,Yes,Not at all,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not at all,Very important,40,31472,Bachelor degree
388,Male,Middle Atlantic,No,Yes,Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Some,Somewhat important,38,45781,High school degree
389,Male,East North Central,No,Yes,No,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Somewhat important,53,145939,Bachelor degree
390,not Male,East North Central,Yes,Yes,Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Some,Very important,41,76749,Some college or Associate degree
391,Male,Pacific,No,Yes,No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not at all,Somewhat important,28,158699,Bachelor degree
392,Male,New England,Yes,Yes,Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Some,Very important,51,183003,Bachelor degree
393,not Male,West South Central,Yes,No,Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Some,Very important,20,112898,Bachelor degree
394,Male,West South Central,Yes,No,No,Some,"Some experts say it's important to drink milk, but the data are inconclusive.",Plural,A lot,Very important,21,75070,Bachelor degree
395,Male,West North Central,No,Yes,Yes,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Somewhat important,43,77425,Some college or Associate degree
396,not Male,Pacific,Yes,Yes,No,Some,"Some experts say it's important to drink milk, but the data are inconclusive.",Plural,Some,Very important,24,56705,Bachelor degree
397,Male,New England,Yes,Yes,No,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,A lot,Very important,26,151335,High school degree
398,not Male,Pacific,No,No,Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Some,Somewhat important,28,52862,Graduate degree
399,Male,Pacific,No,No,Yes,Not at all,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not at all,Somewhat important,35,122306,Some college or Associate degree
400,not Male,Mountain,Yes,No,No,Some,"Some experts say it's important to drink milk, but the data are inconclusive.",Plural,Some,Very important,22,58211,Bachelor degree
401,Male,East South Central,Yes,No,No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Some,Very important,56,160189,Some college or Associate degree
402,Male,West North Central,Yes,No,Yes,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Some,Very important,53,185241,Graduate degree
403,not Male,West South Central,Yes,Yes,Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Some,Very important,22,23205,Some college or Associate degree
404,Male,East North Central,No,No,Yes,Not at all,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not at all,Somewhat important,23,158858,Graduate degree
405,not Male,West South Central,Yes,No,No,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Very important,27,55357,Some college or Associate degree
406,not Male,Pacific,Yes,No,Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,A lot,Very important,20,68680,Some college or Associate degree
407,Male,Middle Atlantic,No,No,Yes,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Somewhat important,39,85062,Bachelor degree
408,not Male,Middle Atlantic,No,Yes,Yes,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Somewhat important,34,97437,Some college or Associate degree
409,not Male,East North Central,Yes,No,No,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Very important,58,94414,Some college or Associate degree
410,not Male,Middle Atlantic,No,No,No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Some,Somewhat important,51,67012,High school degree
411,not Male,Pacific,Yes,No,Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Very important,31,163201,Graduate degree
412,not Male,Middle Atlantic,Yes,No,Yes,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not at all,Very important,40,84340,Bachelor degree
413,Male,Pacific,No,No,Yes,Not much,"Some experts say it's important to drink milk, but the data are inconclusive.",Plural,Some,Somewhat important,38,86214,Bachelor degree
414,not Male,Pacific,No,No,No,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Somewhat important,19,146950,Bachelor degree
415,not Male,New England,Yes,Yes,Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Some,Very important,36,158077,Bachelor degree
416,not Male,East South Central,Yes,No,Yes,A lot,"Some experts say it's important to drink milk, but the data are inconclusive.",Plural,Not much,Very important,22,38757,High school degree
417,Male,South Atlantic,Yes,Yes,Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,A lot,Very important,29,167924,Graduate degree
418,not Male,East North Central,Yes,No,No,Some,"Some experts say it's important to drink milk, but the data are inconclusive.",Plural,A lot,Very important,25,159519,Graduate degree
419,Male,Pacific,No,No,No,Not at all,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not at all,Somewhat important,43,23135,High school degree
420,not Male,South Atlantic,Yes,No,No,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Some,Very important,22,47253,Graduate degree
421,not Male,New England,Yes,Yes,Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Very important,42,133930,Graduate degree
422,Male,East North Central,Yes,Yes,No,A lot,"Some experts say it's important to drink milk, but the data are inconclusive.",Plural,Some,Very important,54,90548,Graduate degree
423,not Male,Middle Atlantic,Yes,No,Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,A lot,Very important,21,188760,Graduate degree
424,not Male,Mountain,No,No,No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Somewhat important,23,35940,Bachelor degree
425,Male,South Atlantic,No,Yes,No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Some,Somewhat important,21,27037,Graduate degree
426,Male,South Atlantic,Yes,No,No,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not at all,Very important,24,67330,Bachelor degree
427,not Male,New England,Yes,Yes,No,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not at all,Very important,40,63747,Bachelor degree
428,not Male,Middle Atlantic,Yes,Yes,Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,A lot,Very important,37,146157,Graduate degree
429,not Male,East South Central,Yes,No,No,Not at all,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not at all,Very important,37,50580,Bachelor degree
430,not Male,Mountain,Yes,No,Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,A lot,Very important,49,115968,Bachelor degree
431,not Male,West North Central,Yes,Yes,Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Very important,57,70542,Bachelor degree
432,Male,East North Central,No,No,Yes,Some,"Some experts say it's important to drink milk, but the data are inconclusive.",Plural,A lot,Somewhat important,19,66699,Bachelor degree
433,not Male,West South Central,No,No,Yes,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Somewhat important,49,54919,Bachelor degree
434,Male,South Atlantic,Yes,No,Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Some,Very important,28,180755,Graduate degree
435,Male,Pacific,Yes,Yes,Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not at all,Very important,27,104189,High school degree
436,Male,New England,No,No,Yes,Not at all,"Some experts say it's important to drink milk, but the data are inconclusive.",Plural,Not much,Somewhat important,50,22691,Bachelor degree
437,not Male,West South Central,Yes,Yes,Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Singular,Not much,Very important,32,156117,Bachelor degree
438,Male,Pacific,Yes,No,No,A lot,"Some experts say it's important to drink milk, but the data are inconclusive.",Plural,Some,Very important,19,24850,High school degree
