year,title,reason,test,budget,domestic,international,runtime,votes,metascore,imdb,rating,language,country,writer,director,genre,plot
1995,Before Sunrise,nowomen,fail,3.82,8.06,8.06,105,117264,77,8.1,R,"English, German, French","USA, Austria, Switzerland","Richard Linklater, Kim Krizan",Richard Linklater,"Drama, Romance","A young man and woman meet on a train in Europe, and wind up spending one evening together in Vienna. Unfortunately, both know that this will probably be their only night together."
1995,Congo,nowomen,fail,76.44,123.87,232.41,109,28565,22,4.9,PG-13,English,USA,"Michael Crichton (novel), John Patrick Shanley (screenplay)",Frank Marshall,"Action, Adventure, Mystery","When an expedition to the African Congo ends in disaster, a new team is assembled to find out what went wrong."
1995,Waterworld,nowomen,fail,267.54,134.91,403.97,135,113181,56,6,PG-13,English,USA,"Peter Rader, David Twohy","Kevin Reynolds, Kevin Costner","Action, Adventure, Sci-Fi","In a future where the polar ice caps have melted and most of Earth is underwater, a mutated mariner fights starvation and outlaw ""smokers,"" and reluctantly helps a woman and a young girl try to find dry land."
1995,Apollo 13,pass,pass,99.37,263.06,510.77,140,164684,77,7.6,PG,English,USA,"Jim Lovell (book), Jeffrey Kluger (book), William Broyles Jr. (screenplay), Al Reinert (screenplay)",Ron Howard,"Adventure, Drama, History",Three astronauts must devise a strategy to return to Earth safely after their spacecraft undergoes massive internal damage.
1995,Casper,pass,pass,84.08,153.38,431.57,100,65761,NA,5.9,PG,English,USA,"Joseph Oriolo (characters), Sherri Stoner, Deanna Oliver",Brad Silberling,"Comedy, Family, Fantasy",A paranormal expert and his daughter bunk in an abandoned house populated by 3 mischievous ghosts and one friendly one.
1995,Clueless,pass,pass,20.94,86.53,86.53,97,83183,68,6.7,PG-13,"English, Spanish",USA,Amy Heckerling,Amy Heckerling,"Comedy, Romance","A parody of Jane Austen's novel Emma, about Cher, a popular girl who spends her days playing matchmaker, helping friends with fashion choices, advising the new girl at school on a makeover, and looking for a boyfriend."
1995,Jumanji,pass,pass,99.37,153.58,401.7,104,135034,39,6.7,PG,"English, French",USA,"Jonathan Hensleigh (screenplay), Greg Taylor (screenplay), Jim Strain (screenplay), Greg Taylor (screen story), Jim Strain (screen story), Chris Van Allsburg (screen story), Chris Van Allsburg (book)",Joe Johnston,"Adventure, Family, Fantasy","When two kids find and play a magical board game, they release a man trapped for decades in it and a host of dangers that can only be stopped by finishing the game."
1995,Outbreak,pass,pass,76.44,103.69,103.69,127,74986,NA,6.5,R,"English, Korean, French",USA,"Laurence Dworet, Robert Roy Pool",Wolfgang Petersen,"Action, Drama, Sci-Fi","Extreme measures are necessary to contain an epidemic of a deadly airborne virus. But how extreme, exactly?"
1995,Pocahontas,pass,pass,84.08,216.44,530.64,81,75675,58,6.5,G,"English, Algonquin",USA,"Carl Binder, Susannah Grant, Philip LaZebnik, Tom Sito (story), Glen Keane (story), Joe Grant (story), Ralph Zondag (story), Burny Mattinson (story), Ed Gombert (story), Kaan Kalyon (story), Francis Glebas (story), Rob Gibbs (story), Bruce Morris (story), Todd Kurosawa (story), Duncan Marjoribanks (story), Chris Buck (story), Andrew Chapman (additional story development), Randy Cartwright (additional story development), Will Finn (additional story development), Broose Johnson (additional story development), T. Daniel Hofstedt (additional story development), David Pruiksma (additional story development), Nik Ranieri (additional story development), Vincent DeFrances (additional story development), Tom Mazzocco (additional story development), Don Dougherty (additional story development), Jorgen Klubien (additional story development), Mike Gabriel (based on an idea by)","Mike Gabriel, Eric Goldberg","Animation, Adventure, Drama",An English soldier and the daughter of an Algonquin chief share a romance when English colonists invade seventeenth-century Virginia.
1995,Sabrina,pass,pass,88.67,81.73,133.16,127,24806,NA,6.2,PG,"English, French","Germany, USA","Samuel A. Taylor (play), Billy Wilder (earlier screenplay), Samuel A. Taylor (earlier screenplay), Ernest Lehman (earlier screenplay), Barbara Benedek (screenplay), David Rayfiel (screenplay)",Sydney Pollack,"Comedy, Drama","An ugly duckling having undergone a remarkable change, still harbors feelings for her crush: a carefree playboy, but not before his business-focused brother has something to say about it."
1995,Safe,pass,pass,50.45,26.21,63.44,119,6020,NA,7.1,R,English,"UK, USA",Todd Haynes,Todd Haynes,Drama,An affluent and unexceptional homemaker in the suburbs develops multiple chemical sensitivity.
1995,Sense and Sensibility,pass,pass,25.22,65.73,206.38,136,60674,84,7.7,PG,"English, French","USA, UK","Jane Austen (novel), Emma Thompson (screenplay)",Ang Lee,"Drama, Romance","Rich Mr. Dashwood dies, leaving his second wife and her three daughters poor by the rules of inheritance. The two eldest daughters are the titular opposites."
1995,Tank Girl,pass,pass,38.22,6.21,6.21,104,20217,NA,5.1,R,English,USA,"Alan Martin (comic strip), Jamie Hewlett (comic strip), Tedi Sarafian",Rachel Talalay,"Action, Comedy, Sci-Fi","Based on the British cult comic-strip, our tank-riding anti-heroine fights a mega-corporation, which controls the world's water supply."
1995,The American President,pass,pass,94.78,91.76,164.84,114,37489,67,6.8,PG-13,"English, French",USA,Aaron Sorkin,Rob Reiner,"Comedy, Drama, Romance","Comedy-drama about a widowed US president and a lobbyist who fall in love. It's all aboveboard, but ""politics is perception"" and sparks fly anyway."
1995,The Bridges of Madison County,pass,pass,33.63,109.33,268.33,135,43393,66,7.5,PG-13,English,USA,"Richard LaGravenese (screenplay), Robert James Waller (novel)",Clint Eastwood,"Drama, Romance","Photographer Robert Kincaid wanders into the life of housewife Francesca Johnson, for four days in the 1960s."
1995,The Net,pass,pass,33.63,77.39,168.96,114,40448,NA,5.8,PG-13,"English, Spanish",USA,"John D. Brancato, Michael Ferris",Irwin Winkler,"Action, Crime, Drama","A computer programmer stumbles upon a conspiracy, putting her life and the lives of those around her in great danger."
1995,Welcome to the Dollhouse,pass,pass,1.22,6.42,7.7,88,22328,83,7.5,R,English,USA,Todd Solondz,Todd Solondz,"Comedy, Drama","Insightful look at an unattractive 7th grader as she struggles to cope with un-attentive parents, snobbish classmates, a smart older brother, an attractive younger sister, and her own insecurities."
1996,August,dubious,fail,5.05,0.02,0.02,94,548,NA,6,PG,English,"UK, USA","Anton Chekhov (play), Julian Mitchell",Anthony Hopkins,"Comedy, Drama, Romance","Chekovs Uncle Vanya, transposed to turn-of-the-century North Wales, where the peace and tranquillity of a country house is disturbed by the arrival of the estates tyrannical owner and his ..."
1996,Romeo + Juliet,dubious,fail,21.53,68.82,219.12,120,128640,60,6.9,PG-13,English,USA,"William Shakespeare (play), Craig Pearce (screenplay), Baz Luhrmann (screenplay)",Baz Luhrmann,"Drama, Romance",Shakespeare's famous play is updated to the hip modern suburb of Verona still retaining its original dialogue.
1996,Striptease,dubious,fail,74.26,49.17,168.28,115,29083,NA,4.2,R,English,USA,"Carl Hiaasen (book), Andrew Bergman (screenplay)",Andrew Bergman,"Crime, Drama, Thriller",A stripper and single mother gets dragged into a dangerous situation after a congressman takes a fancy to her.
1996,DragonHeart,men,fail,84.65,76.29,155,103,66255,NA,6.4,PG-13,English,USA,"Patrick Read Johnson (story), Charles Edward Pogue (story), Charles Edward Pogue (screenplay)",Rob Cohen,"Action, Adventure, Drama",The last dragon and a disillusioned dragonslaying knight must cooperate to stop an evil king who was given partial immortality.
1996,Trainspotting,men,fail,4.6,24.51,35.65,94,344120,83,8.2,R,English,UK,"Irvine Welsh (novel), John Hodge (screenplay)",Danny Boyle,"Crime, Drama","Renton, deeply immersed in the Edinburgh drug scene, tries to clean up and get out, despite the allure of the drugs and influence of friends."
1996,Chain Reaction,notalk,fail,81.68,31.52,89.42,107,33890,NA,5.5,PG-13,English,USA,"Arne Schmidt (story), Rick Seaman (story), Josh Friedman (story), J.F. Lawton (screenplay), Michael Bortman (screenplay)",Andrew Davis,"Action, Drama, Sci-Fi",Two researchers in a green alternative energy project are put on the run when they are framed for murder and treason.
1996,Escape from L.A.,notalk,fail,74.26,37.76,37.76,101,41442,NA,5.6,R,English,USA,"John Carpenter (characters), Nick Castle (characters), John Carpenter, Debra Hill, Kurt Russell",John Carpenter,"Action, Adventure, Sci-Fi","Snake Plissken is once again called in by the United States government to recover a potential doomsday device from Los Angeles, now an autonomous island where undesirables are deported."
1996,From Dusk Till Dawn,notalk,fail,29.7,38.21,38.21,108,164022,52,7.3,R,"English, Spanish",USA,"Robert Kurtzman (story), Quentin Tarantino (screenplay)",Robert Rodriguez,"Action, Crime, Horror","Two criminals and their hostages unknowingly seek temporary refuge in an establishment populated by vampires, with chaotic results."
1996,Hamlet,notalk,fail,2.97,2.34,3.59,242,26347,NA,7.9,PG-13,English,"UK, USA","William Shakespeare (play), Kenneth Branagh (screenplay)",Kenneth Branagh,"Drama, History","Hamlet, Prince of Denmark, returns home to find his father murdered and his mother remarrying the murderer, his uncle. Meanwhile, war is brewing."
1996,Jingle All the Way,notalk,fail,89.11,89.99,192.82,89,53969,NA,5.3,PG,English,USA,Randy Kornfield,Brian Levant,"Comedy, Family",A father decides to dream the impossible; to get a Turbo Man action figure for his son just before Christmas.
1996,Kingpin,notalk,fail,37.13,37.16,47.86,113,51644,43,6.9,PG-13,English,USA,"Barry Fanaro, Mort Nathan","Bobby Farrelly, Peter Farrelly","Comedy, Sport","A star bowler whose career was prematurely ""cut off"" hopes to ride a new prodigy to success and riches."
1996,Mission: Impossible,notalk,fail,118.81,268.79,679.76,110,217631,60,7,PG-13,"English, French, Czech",USA,"Bruce Geller (television series), David Koepp (story), Steven Zaillian (story), David Koepp (screenplay), Robert Towne (screenplay)",Brian De Palma,"Action, Adventure, Thriller","An American agent, under false suspicion of disloyalty, must discover and expose the real spy without the help of his organization."
1996,Space Jam,notalk,fail,118.81,134.35,371.59,88,75629,NA,6.1,PG,English,USA,"Leo Benvenuti, Steve Rudnick, Timothy Harris, Herschel Weingrod",Joe Pytka,"Animation, Adventure, Comedy",Michael Jordan agrees to help the Looney Toons play a basketball game vs. alien slavers to determine their freedom.
1996,Spy Hard,notalk,fail,26.73,40,40,81,23775,25,5.2,PG-13,"English, French, Spanish",USA,"Jason Friedberg (story), Aaron Seltzer (story), Rick Friedberg (screenplay), Dick Chudnow (screenplay), Jason Friedberg (screenplay), Aaron Seltzer (screenplay)",Rick Friedberg,"Comedy, Action","General Rancor is threatening to destroy the world with a missile he is hiding at his secret base. But to complete his goal, he needs a special computer chip, invented by the scientist Prof..."
1996,The Cable Guy,notalk,fail,69.8,89.47,152.71,96,94492,NA,6,PG-13,"English, French",USA,Lou Holtz Jr.,Ben Stiller,"Comedy, Drama, Thriller","A lonely and disturbed cable guy raised on television just wants a new friend, but his target, a designer, rejects him, with bad consequences."
1996,The Fan,notalk,fail,81.68,27.6,27.6,116,32494,32,5.8,R,"English, Spanish",USA,"Peter Abrahams (book), Phoef Sutton (screenplay)",Tony Scott,"Drama, Sport, Thriller",An all star baseball player becomes the unhealthy focus of a down on his luck salesman.
1996,The Glimmer Man,notalk,fail,66.83,30.3,54.07,91,12859,NA,5.3,R,English,USA,Kevin Brodbin,John Gray,"Action, Comedy, Crime","Two cops, played by Seagal and Wayans, are forced to work together to solve a chain of mysterious killings by a killer nicknamed ""The Family Man"""
1996,The Hunchback of Notre Dame,notalk,fail,148.52,148.72,483.42,91,66268,NA,6.8,G,"English, Latin",USA,"Geefwee Boedoe (story), Tab Murphy (animation screenplay), Irene Mecchi (animation screenplay), Bob Tzudiker (animation screenplay), Noni White (animation screenplay), Jonathan Roberts (animation screenplay), Tab Murphy (animation story), Victor Hugo (novel), Sue C. Nichols (story), Christine Blum (story), Gaëtan Brizzi (story), Paul Brizzi (story), Jim Capobianco (story), Brenda Chapman (story), Francis Glebas (story), Ed Gombert (story), Kirk Hanson (story), Kevin Harkey (story), Burny Mattinson (story), Floyd Norman (story), Denis Rich (story), Jeff Snow (story), Kelly Wightman (story), James Fujii (story), John Sanford (story)","Gary Trousdale, Kirk Wise","Animation, Drama, Family","A deformed bell-ringer must assert his independence from a vicious government minister in order to help his friend, a gypsy dancer."
1996,The Long Kiss Goodnight,notalk,fail,96.54,49.68,49.68,121,50562,44,6.7,R,English,USA,Shane Black,Renny Harlin,"Action, Crime, Drama",A woman suffering from amnesia begins to recover her memories after trouble from her past finds her again.
1996,The Rock,notalk,fail,111.39,199.12,499.12,136,214355,59,7.4,R,English,USA,"David Weisberg (story), Douglas Cook (story), David Weisberg (screenplay), Douglas Cook (screenplay), Mark Rosner (screenplay)",Michael Bay,"Action, Adventure, Thriller","A mild-mannered chemist and an ex-con must lead the counterstrike when a rogue group of military men, led by a renegade general, threaten a nerve gas attack from Alcatraz against San Francisco."
1996,Broken Arrow,nowomen,fail,96.54,104.92,220.32,108,66094,61,5.9,R,English,USA,Graham Yost,John Woo,"Action, Adventure, Thriller",Terrorists steal nuclear warheads from the U.S. military but don't count on a pilot and park ranger spoiling their plans.
1996,Bound,pass,pass,6.68,5.65,10.41,108,34360,61,7.5,R,English,USA,"Andy Wachowski, Lana Wachowski","Andy Wachowski, Lana Wachowski","Crime, Drama, Thriller","Corky, a tough female ex con and her lover Violet concoct a scheme to steal millions of stashed mob money and pin the blame on Violet's crooked boyfriend Caeser."
1996,Emma,pass,pass,8.76,33.02,56.19,121,21799,66,6.9,PG,English,"UK, USA","Jane Austen (novel), Douglas McGrath (screenplay)",Douglas McGrath,"Comedy, Drama, Romance",In rural 1800s England things go bad for a young matchmaker after she finds a man for another woman.
1996,Eye for an Eye,pass,pass,29.7,39.79,39.79,101,7661,NA,6.1,R,"English, French, Spanish, Korean",USA,"Erika Holzer (novel), Amanda Silver (screenplay), Rick Jaffa (screenplay)",John Schlesinger,"Crime, Drama, Thriller","Karen McCann's eldest daughter is raped and murdered whilst on the phone with her. When the case against Robert Doob, the perpetrator, is dismissed because of a technicality, she starts ..."
1996,Fargo,pass,pass,10.4,36.49,76.05,98,309702,85,8.2,R,English,"USA, UK","Ethan Coen, Joel Coen","Joel Coen, Ethan Coen","Crime, Drama, Thriller",Jerry Lundegaard's inept crime falls apart due to his and his henchmen's bungling and the persistent police work of the quite pregnant Marge Gunderson.
1996,Freeway,pass,pass,4.46,0.44,0.44,110,19780,61,6.9,R,English,USA,Matthew Bright,Matthew Bright,"Comedy, Crime, Drama","A twisted take on 'Little Red Riding Hood' with a teenage juvenile delinquent on the run from a social worker traveling to her grandmother's house and being hounded by a charming, but sadistic, serial killer/pedophile."
1996,Harriet the Spy,pass,pass,19.31,39.46,39.46,100,6518,NA,5.9,PG,English,USA,"Louise Fitzhugh (novel), Greg Taylor (adaptation), Julie Talen (adaptation), Douglas Petrie (screenplay), Theresa Rebeck (screenplay)",Bronwen Hughes,"Family, Comedy, Drama",Harriet M. Welsch is a spy. But when Harriet's friends find her secret notebook the tables are turned on her. Can she win her friends back and still keep on going with the spy business?
1996,Independence Day,pass,pass,111.39,454.71,1213.98,145,326834,59,6.9,PG-13,English,USA,"Dean Devlin, Roland Emmerich",Roland Emmerich,"Action, Adventure, Drama","The aliens are coming and their goal is to invade and destroy. Fighting superior technology, Man's best weapon is the will to survive."
1996,Love and Other Catastrophes,pass,pass,0.37,0.32,1.1,78,1638,NA,6.4,R,English,Australia,"Stavros Kazantzidis (story), Yael Bergman (screenplay), Emma-Kate Croghan (screenplay), Helen Bandis (screenplay)",Emma-Kate Croghan,"Comedy, Romance",A day in the life of two film-school students trying to find love and another house-mate.
1996,Mars Attacks!,pass,pass,118.81,56.1,150.55,106,137730,52,6.3,PG-13,"English, French",USA,"Len Brown (trading card series), Woody Gelman (trading card series), Wally Wood (trading card series), Bob Powell (trading card series), Norman Saunders (trading card series), Jonathan Gems (screen story), Jonathan Gems (screenplay)",Tim Burton,"Comedy, Sci-Fi",Earth is invaded by Martians with unbeatable weapons and a cruel sense of humor.
1996,Scream,pass,pass,22.28,153.04,257,111,174957,65,7.2,R,English,USA,Kevin Williamson,Wes Craven,"Crime, Horror, Mystery","A killer known as Ghostface begins killing off teenagers, and as the body count begins rising, one girl and her friends find themselves contemplating the ""Rules"" of horror films as they find themselves living in a real-life one."
1996,Set It Off,pass,pass,13.37,53.54,53.54,123,7749,NA,6.7,R,English,USA,"Takashi Bufford (story), Takashi Bufford (screenplay), Kate Lanier (screenplay)",F. Gary Gray,"Action, Crime, Drama","Four Black women, all of whom have suffered for lack of money and at the hands of the majority, undertake to rob banks. While initially successful, a policeman who was involved in shooting ..."
1996,Star Trek: First Contact,pass,pass,68.32,136.68,222.77,111,83055,71,7.6,PG-13,English,USA,"Gene Roddenberry (television series Star Trek), Rick Berman (story), Brannon Braga (story), Ronald D. Moore (story), Brannon Braga (screenplay), Ronald D. Moore (screenplay)",Jonathan Frakes,"Action, Adventure, Sci-Fi",Captain Picard and his crew pursue the Borg back in time to stop them from preventing Earth's first contact with an alien species. They also make sure that Zefram Cochrane makes his famous maiden flight at warp speed.
1996,That Thing You Do!,pass,pass,3.71,38.4,51.32,108,42182,71,6.8,PG,English,USA,Tom Hanks,Tom Hanks,"Comedy, Drama, Music","A Pennsylvania band scores a hit in 1964 and rides the star-making machinery as long as it can, with lots of help from its manager."
1996,The Craft,pass,pass,22.28,36.79,82.68,101,44558,NA,6.2,R,"English, French",USA,"Peter Filardi (story), Peter Filardi (screenplay), Andrew Fleming (screenplay)",Andrew Fleming,"Drama, Fantasy, Horror",A newcomer to a Catholic prep high school falls in with a trio of outcast teenage girls who practice witchcraft and they all soon conjure up various spells and curses against those who even slightly anger them.
1996,The English Patient,pass,pass,51.98,116.91,344.14,162,110308,87,7.4,R,"English, German, Italian, Arabic","USA, UK","Michael Ondaatje (novel), Anthony Minghella (screenplay)",Anthony Minghella,"Drama, Romance, War","At the close of WWII, a young nurse tends to a badly-burned plane crash victim. His past is shown in flashbacks, revealing an involvement in a fateful love affair."
1996,The First Wives Club,pass,pass,44.55,156.67,269.54,103,25340,58,6.1,PG,English,USA,"Olivia Goldsmith (novel), Robert Harling (screenplay)",Hugh Wilson,Comedy,"Reunited by the death of a college friend, three divorced women seek revenge on the husbands who left them for younger women."
1996,The Mirror Has Two Faces,pass,pass,62.38,61.29,61.29,126,9489,NA,6.4,PG-13,English,USA,"André Cayatte (screenplay), Gérard Oury (screenplay), Richard LaGravenese (screen story), Richard LaGravenese (screenplay)",Barbra Streisand,"Comedy, Drama, Romance","Rose and Gregory, both Columbia University professors meet when Rose's sister answers Gregory's ""personals"" ad. Several times burned, the handsome-but-boring Gregory believes that sex has ..."
1996,Twister,pass,pass,130.69,359.24,736.49,113,120055,68,6.2,PG-13,English,USA,"Michael Crichton, Anne-Marie Martin",Jan de Bont,"Action, Adventure, Drama","Bill and Jo Harding, advanced storm chasers on the brink of divorce, must join together to create an advanced weather alert system by putting themselves in the cross-hairs of extremely violent tornadoes."
1996,Walking and Talking,pass,pass,1.49,1.91,2.4,86,2320,67,6.8,R,English,"UK, USA, Germany",Nicole Holofcener,Nicole Holofcener,"Drama, Comedy, Romance","Things have been tough lately for Amelia. Her best friend moved out of the apartment, her cat got cancer, and now her best friend, Laura, is getting married. She copes with things, from the..."
1997,Boogie Nights,dubious,fail,21.77,38.33,62.57,155,148817,85,7.9,R,English,USA,Paul Thomas Anderson,Paul Thomas Anderson,Drama,The story of a young man's adventures in the Californian pornography industry of the late 1970s and early 1980s.
1997,The Lost World: Jurassic Park,dubious,fail,108.84,332.46,1141.67,129,187100,59,6.4,PG-13,"English, Spanish",USA,"Michael Crichton (novel), David Koepp (screenplay)",Steven Spielberg,"Action, Adventure, Sci-Fi",A research team is sent to the Jurassic Park Site B island to study the dinosaurs there while another team approaches with another agenda.
1997,The Peacemaker,dubious,fail,72.56,59.88,91.38,124,40035,43,5.9,R,"English, Russian, Serbian, Bosnian, Croatian",USA,"Leslie Cockburn (article), Andrew Cockburn (article), Michael Schiffer (screenplay)",Mimi Leder,"Action, Thriller",A US Army colonel and a civilian woman supervising him must track down stolen Russian nuclear weapons before they're used by terrorists.
1997,Austin Powers: International Man of Mystery,men,fail,26.12,78.2,98.23,89,146879,51,7,PG-13,English,"USA, Germany",Mike Myers,Jay Roach,"Comedy, Crime, Sci-Fi","A 1960s hipster secret agent is brought out of cryofreeze to oppose his greatest enemy in the 1990s, where his social attitudes are glaringly out of place."
1997,Conspiracy Theory,men,fail,116.1,110.47,207.21,135,59122,49,6.7,R,English,USA,Brian Helgeland,Richard Donner,"Action, Crime, Mystery","A man obsessed with conspiracy theories becomes a target after one of his theories turns out to be true. Unfortunately, in order to save himself, he has to figure out which theory it is."
1997,Flubber,men,fail,116.1,134.96,258.31,93,43006,37,4.9,PG,English,USA,"Samuel W. Taylor (short story ""A Situation of Gravity""), John Hughes (screenplay), Bill Walsh (screenplay)",Les Mayfield,"Comedy, Family, Sci-Fi","An absent-minded professor discovers ""flubber,"" a rubber-like super-bouncy substance."
1997,Kiss the Girls,men,fail,39.18,87.84,87.84,115,40210,46,6.5,R,"English, Mandarin",USA,"James Patterson (novel), David Klass (screenplay)",Gary Fleder,"Crime, Drama, Mystery",Police hunting for a serial killer are helped when a victim manages to escape for the first time.
1997,Air Bud,notalk,fail,4.35,35.77,40.33,98,10204,NA,5,PG,English,"USA, Canada","Kevin DiCicco (character ""Air Bud""), Paul Tamasy, Aaron Mendelsohn",Charles Martin Smith,"Comedy, Drama, Family","A young boy and a talented stray dog with an amazing basketball playing ability become instant friends. Rebounding from his father's accidental death, 12-year-old Josh Framm moves with his ..."
1997,Air Force One,notalk,fail,123.36,251,457.53,124,117900,61,6.4,R,"English, Russian","USA, Germany",Andrew W. Marlowe,Wolfgang Petersen,"Action, Adventure, Drama","Hijackers seize the plane carrying the President of the United States and his family, but he - an ex-soldier - works from hiding to defeat them."
1997,Con Air,notalk,fail,116.1,146.75,325.25,115,178495,52,6.8,R,English,USA,Scott Rosenberg,Simon West,"Action, Crime, Thriller",A newly released ex-con and former US Ranger finds himself trapped in a prisoner transport plane when the passengers seize control.
1997,Gattaca,notalk,fail,52.24,18.19,18.19,106,164547,64,7.8,PG-13,"English, Esperanto",USA,Andrew Niccol,Andrew Niccol,"Drama, Romance, Sci-Fi",A genetically inferior man assumes the identity of a superior one in order to pursue his lifelong dream of space travel.
1997,In the Company of Men,notalk,fail,0.04,4.18,4.18,97,10387,81,7.3,R,"English, American Sign Language","Canada, USA",Neil LaBute,Neil LaBute,"Comedy, Drama","Two business executives--one an avowed misogynist, the other recently emotionally wounded by his love interest--set out to exact revenge on the female gender by seeking out the most innocent, uncorrupted girl they can find and ruining her life."
1997,L.A. Confidential,notalk,fail,50.79,93.76,160.51,138,319458,90,8.3,R,English,USA,"James Ellroy (novel), Brian Helgeland (screenplay), Curtis Hanson (screenplay)",Curtis Hanson,"Crime, Drama, Mystery","As corruption grows in 1950s LA, three policemen - the straight-laced, the brutal, and the sleazy - investigate a series of murders with their own brand of justice."
1997,Liar Liar,notalk,fail,65.31,263.27,439.31,86,158903,68,6.8,PG-13,English,USA,"Paul Guay, Stephen Mazur",Tom Shadyac,"Comedy, Drama, Fantasy",A fast track lawyer can't lie for 24 hours due to his son's birthday wish after the lawyer turns his son down for the last time.
1997,Men in Black,notalk,fail,130.61,363.81,853.02,98,292609,71,7.2,PG-13,"English, Spanish",USA,"Lowell Cunningham (comic), Ed Solomon (screen story), Ed Solomon (screenplay)",Barry Sonnenfeld,"Comedy, Sci-Fi",A streetwise NYPD detective joins a secret organization that polices extraterrestrial affairs on Earth.
1997,The Fifth Element,notalk,fail,137.87,92.26,382.98,126,261202,52,7.6,PG-13,"English, Swedish, German",France,"Luc Besson (story), Luc Besson (screenplay), Robert Mark Kamen (screenplay)",Luc Besson,"Action, Adventure, Sci-Fi","In the colorful future, a cab driver unwittingly becomes the central figure in the search for a legendary cosmic weapon to keep Evil and Mr Zorg at bay."
1997,The Game,notalk,fail,72.56,70.04,70.04,129,193288,61,7.8,R,"English, Cantonese, German",USA,"John D. Brancato, Michael Ferris",David Fincher,"Drama, Mystery, Thriller",Wealthy San Francisco financier Nicholas Van Orton gets a strange birthday present from wayward brother Conrad: a live-action game that consumes his life.
1997,The Postman,notalk,fail,116.1,25.62,25.62,177,46058,29,5.9,R,English,USA,"David Brin (novel), Eric Roth (screenplay), Brian Helgeland (screenplay)",Kevin Costner,"Action, Adventure, Drama",A drifter with no name finds a Jeep with the skeleton of a postman and a bag of mail and dons the postman's uniform and bag of mail as he begins a quest to inspire hope to the survivors living in the post apocalyptic America.
1997,Good Will Hunting,nowomen,fail,14.51,200.9,327.88,126,414134,70,8.2,R,English,USA,"Matt Damon, Ben Affleck",Gus Van Sant,Drama,"Will Hunting, a janitor at MIT, has a gift for mathematics but needs help from a psychologist to find direction in his life."
1997,A Simple Wish,pass,pass,40.63,11.85,11.85,89,3519,NA,5.3,PG,English,USA,Jeff Rothberg,Michael Ritchie,"Comedy, Fantasy","Murray is a male fairy godmother, and he is trying to help 8-year-old Anabel to fulfil her ""simple wish"" - that her father Oliver, who is a cab driver, would win the leading role in a ..."
1997,Alien: Resurrection,pass,pass,87.07,69.36,233.21,109,126907,63,6.3,R,English,USA,"Dan O'Bannon (characters), Ronald Shusett (characters), Joss Whedon",Jean-Pierre Jeunet,"Action, Sci-Fi, Thriller","200 years after her death, Ellen Ripley is revived as a powerful human/Alien hybrid clone who must continue her war against the Aliens."
1997,Anastasia,pass,pass,76.92,84.76,202.89,94,60252,59,7,G,"English, Russian, French",USA,"Susan Gauthier (screenplay), Bruce Graham (screenplay), Bob Tzudiker (screenplay), Noni White (screenplay), Eric Tuchman (animation adaptation)","Don Bluth, Gary Goldman","Animation, Adventure, Drama","The last surviving child of the Russian Royal Family hooks up with two con men to reunite with her grandmother, the Dowager Empress, while the undead Rasputin seeks her death."
1997,As Good as It Gets,pass,pass,72.56,215.48,455.85,139,189502,67,7.8,PG-13,English,USA,"Mark Andrus (story), Mark Andrus (screenplay), James L. Brooks (screenplay)",James L. Brooks,"Comedy, Drama, Romance","A single mother/waitress, a misanthropic author, and a gay artist form an unlikely friendship after the artist is in an accident."
1997,Chasing Amy,pass,pass,0.36,17.42,21.99,113,96511,71,7.4,R,English,USA,Kevin Smith,Kevin Smith,"Comedy, Drama, Romance","Holden and Banky are comic book artists. Everything's going good for them until they meet Alyssa, also a comic book artist. Holden falls for her, but his hopes are crushed when he finds out she's gay."
1997,Cinderella,pass,pass,4.21,123.36,123.36,88,3702,NA,6.3,G,English,USA,"Oscar Hammerstein II (book), Robert L. Freedman (teleplay)",Robert Iscove,"Musical, Romance, Fantasy","Updated version of the classic Rodgers and Hammerstein musical of the classic fairy-tale, with an all-star, multi-racial cast."
1997,Clockwatchers,pass,pass,2.9,0.78,0.78,96,3786,NA,6.4,PG-13,English,"UK, USA","Jill Sprecher, Karen Sprecher",Jill Sprecher,"Comedy, Drama",Iris can best be described as a wallflower. She begins her first day as a temp for the nondescript Global Credit Association by waiting in a chair for two hours. This sets the scene for her...
1997,Contact,pass,pass,130.61,146.46,240.76,150,153369,62,7.4,PG,"English, Spanish, German, Russian",USA,"Carl Sagan (novel), Carl Sagan (story), Ann Druyan (story), James V. Hart (screenplay), Michael Goldenberg (screenplay)",Robert Zemeckis,"Drama, Mystery, Sci-Fi","Dr. Ellie Arroway, after years of searching, finds conclusive radio proof of intelligent aliens, who send plans for a mysterious machine."
1997,Event Horizon,pass,pass,87.07,38.71,38.71,96,87660,35,6.7,R,"English, Latin","UK, USA",Philip Eisner,Paul W.S. Anderson,"Horror, Sci-Fi",A rescue crew investigates a spaceship that disappeared into a black hole and has now returned...with someone or something new on-board.
1997,Fever Pitch,pass,pass,58.05,61.06,72.67,102,6947,55,6.7,R,English,UK,"Nick Hornby (book), Nick Hornby (screenplay)",David Evans,"Comedy, Drama, Romance","A romantic comedy about a man, a woman and a football team. Based on Nick Hornby's best selling autobiographical novel, Fever Pitch. English teacher Paul Ashworth believes his long standing..."
