county,district,grade_span,teachers,expenditures,ratio,income,english,test_scores
Santa Clara,Evergreen Elementary,KK-08,549.8400269,4929.393066,21.61537743,16.47331238,29.12074089,661.6
Sonoma,Harmony Union Elementary,KK-08,27.43000031,4905.221191,20.56142807,18.36899948,4.43262434,661.6
Kern,Panama Buena Vista Union Elementary,KK-08,620.3800049,5156.856934,19.95551109,16.65411186,4.814216614,661.85
San Mateo,Laguna Salada Union Elementary,KK-08,178.0599976,4941.787598,21.18387032,18.54422188,5.249204636,661.85
Tuolumne,Sonora Elementary,KK-08,47.58000183,5408.781738,18.8104229,14.18000031,1.899441361,661.85
Placer,Roseville City Elementary,KK-08,277.6700134,4981.387695,20.57838249,18.02955437,8.66293335,661.9
Stanislaus,Gratton Elementary,KK-08,5.730000019,4877.086426,18.32460785,13.58600044,10.47619057,661.9
Shasta,Bella Vista Elementary,KK-08,24.5,5201.515625,20.81632614,11.10299969,0,662.4
Tulare,Columbine Elementary,KK-08,8,4138.305664,20,7.5,9.375,662.4
Los Angeles,Hughes-Elizabeth Lakes Union Elementary,KK-08,22,5743.597168,19.68181801,15.50599957,1.385681391,662.45
Santa Clara,Mountain View Elementary,KK-08,164.3099976,5702.705078,19.39017677,22.84140015,35.34212112,662.5
Los Angeles,Sulphur Springs Union Elementary,KK-06,239.3999939,4802.152832,20.92731857,19.82312584,9.64071846,662.55
Sonoma,Forestville Union Elementary,KK-08,35.95000076,5442.143066,19.94436646,16.34700012,2.231520176,662.55
Kern,Rosedale Union Elementary,KK-08,170.6499939,4522.375488,20.79109383,16.29299927,0.36640361,662.65
Shasta,Columbia Elementary,KK-08,45.20000076,4965.808105,19.20353889,13.24800014,0.57603687,662.7
Placer,Colfax Elementary,KK-08,26.64999962,5358.326172,19.02439117,14.01000023,0,662.75
Siskiyou,Mt. Shasta Union Elementary,KK-08,46.65000153,5784.625,17.62057877,14.16300011,0.851581514,662.9
Sonoma,Piner-Olivet Union Elementary,KK-06,88.55000305,5072.70459,20.23715401,15.77099991,5.524553776,663.35
Madera,Bass Lake Joint Elementary,KK-08,62.29999924,5556.041016,19.29373932,14.48333263,0,663.45
Humboldt,Cutten Elementary,KK-06,27.35000038,5190.310059,18.82998085,14.20899963,0,663.5
El Dorado,Placerville Union Elementary,KK-08,66.56999969,5211.485352,20.3394928,15.16699982,2.437223196,663.85
Sonoma,Wright Elementary,KK-06,65.11000061,5284.164063,19.22899628,12.58425045,20.76677322,663.85
Tehama,Evergreen Union Elementary,KK-08,46,5331.920898,17.89130402,10.55099964,2.187120438,663.9
Sonoma,Old Adobe Union Elementary,KK-06,114.3000031,5599.60791,19.51881027,16.95599937,13.62617588,664
Sonoma,Wilmar Union Elementary,KK-06,14.19999981,4881.899414,19.08450699,17.70899963,13.28413296,664
Placer,Ackerman Elementary,KK-08,15.5,4700.432129,19.93548393,16.27199936,1.941747546,664.15
Santa Cruz,Santa Cruz City Elementary,KK-06,159.2200012,5650,18.87325668,17.9008007,23.0615654,664.15
Humboldt,Arcata Elementary,KK-08,47.95999908,5318.240723,20.14178467,11.83399963,0.621118009,664.3
San Bernardino,Alta Loma Elementary,KK-08,327.2999878,4709.054199,23.55637169,18.6201992,3.255512238,664.4
Placer,Foresthill Union Elementary,KK-08,35.5,5143.19043,21.46478844,12.43099976,0,664.45
El Dorado,Mother Lode Union Elementary,KK-08,89,5133.009766,19.19101143,15.16699982,2.224824429,664.7
Orange,Ocean View Elementary,KK-08,489.2999878,5081.455566,20.13080025,20.87574959,18.55837631,664.75
Glenn,Lake Elementary,KK-08,5,4016.41626,25.79999924,10.63899994,6.201550484,664.95
San Mateo,San Mateo-Foster City Elementary,KK-08,565.5100098,5374.050293,18.77774048,25.02961922,18.45748138,664.95
Santa Barbara,Goleta Union Elementary,KK-06,236.5800018,5427.548828,19.1098156,16.75780106,32.07255173,665.1
Sonoma,Petaluma City Elementary,KK-06,138,5400,18.615942,17.3694458,15.33670712,665.35
Santa Clara,Sunnyvale Elementary,KK-08,286.7999878,5726.146484,20.99721146,22.09600067,27.66522789,665.65
Santa Barbara,College Elementary,KK-08,33.5,5003.870117,20,22.84199905,12.53731441,665.9
San Diego,La Mesa-Spring Valley,KK-08,700.9400024,4969.51123,20.98325157,18.31987572,12.68017483,665.95
Orange,Huntington Beach City Elementary,KK-08,305,4747.295898,21.6426239,25.03000069,6.908044338,666
Santa Barbara,Solvang Elementary,KK-08,33.70000076,4543.305176,20.02967262,21.95700073,14.96296215,666.05
Santa Cruz,Soquel Elementary,KK-08,124.0699997,5229.591309,19.81139755,18.79683304,11.26932526,666.1
Glenn,Capay Joint Union Elementary,KK-08,8,4507.353027,18,10.63899994,9.722222328,666.15
Sonoma,Gravenstein Union Elementary,KK-08,29.60000038,5302.62793,19.35810852,17.50799942,3.315881252,666.15
Nevada,Pleasant Valley Elementary,KK-08,35.72999954,5545.610352,20.17912102,18.59300041,0.693481266,666.45
Kings,Pioneer Union Elementary,KK-08,46.97000122,4615.908691,21.11986351,11.11600018,5.141129017,666.55
San Diego,Santee Elementary,KK-08,360.5,5397.689453,23.38973618,14.09766674,4.969165325,666.6
Lassen,Johnstonville Elementary,KK-08,11,5118.373047,22.18181801,12.64000034,6.967213154,666.65
Ventura,Pleasant Valley Elementary,KK-08,356.8200073,5008.070801,19.94282722,20.93642807,7.99606514,666.65
Tuolumne,Curtis Creek Elementary,KK-08,46.65999985,4906.030273,17.78825569,14.18000031,0.481927723,666.7
Siskiyou,Fort Jones Union Elementary,KK-06,10.88000011,6870.346191,14.70588207,11.82600021,2.5,666.85
Sonoma,Mark West Union Elementary,KK-06,83.40000153,5301.716309,19.04076767,18.67099953,3.841310024,666.85
San Diego,Alpine Union Elementary,KK-08,108.75,5182.365723,20.89195442,17.33200073,1.32042253,667.15
Sonoma,Sebastopol Union Elementary,KK-08,71.83000183,4999.46875,19.8385067,17.50799942,4.91228056,667.2
Humboldt,Freshwater Elementary,KK-06,12.55000019,6732.066406,19.52191162,15.57199955,0,667.45
Kern,Norris Elementary,KK-08,65.21250153,4612.989746,20.68621826,15.56725025,0.222386956,667.45
Tulare,Springville Union Elementary,KK-08,22,5478.845703,18.18181801,15.75199986,0,667.6
Santa Clara,Moreland Elementary,KK-08,245.1799927,5666.713867,18.89224243,20.46999931,17.85405922,668
Kern,Maple Elementary,KK-08,9,4742.51416,24.88888931,9.708999634,4.464285851,668.1
Kings,Kings River-Hardwick Union Elementary,KK-08,31,4907.392578,18.58064461,11.11600018,9.548611641,668.4
San Diego,Julian Union Elementary,KK-08,25,5700.402344,18.04000092,16.32099915,3.991130829,668.6
San Diego,Cardiff Elementary,KK-06,50.75,5191.834473,17.73398972,21.96699905,20.66666603,668.65
Tulare,Saucelito Elementary,KK-08,5.5,4451.256836,21.45454597,8.934000015,7.627118587,668.8
San Diego,Bonsall Union Elementary,KK-08,73.12999725,5627.527832,19.92342567,19.99699974,27.45367241,668.9
Orange,Cypress Elementary,KK-06,232.75,4922.939941,20.33942032,18.82723045,10.85762596,668.95
Los Angeles,Lowell Joint Elementary,KK-08,146.5,4969.380859,22.54607582,18.1186657,5.025733948,669.1
Los Angeles,Newhall Elementary,KK-06,286.9200134,4829.717285,21.10344315,23.66737556,14.23616886,669.3
Marin,Lagunitas Elementary,KK-08,23.29999924,6716.692871,18.19742584,22.13899994,0.235849053,669.3
Santa Clara,Cambrian Elementary,KK-08,139.3000031,5205.941895,20.10768127,20.54599953,2.070688963,669.35
Tehama,Richfield Elementary,KK-08,9.760000229,4357.826172,19.15983582,9.484999657,8.556149483,669.35
Humboldt,Fieldbrook Elementary,KK-08,6.599999905,5195.918945,19.54545403,11.83399963,0,669.8
San Diego,Dehesa Elementary,KK-06,9,6002.071777,20.88888931,18.79899979,4.787234306,669.85
Shasta,Cottonwood Union Elementary,KK-08,65.90000153,5090.587891,18.39150238,10.55099964,3.960396051,669.95
Kern,Fruitvale Elementary,KK-08,135.3500061,5112.390137,19.17990303,15.51900005,1.579352856,670
Santa Clara,Union Elementary,KK-08,253.8959961,5287.35498,19.39770699,21.63172722,3.593908548,670.7
Orange,Fountain Valley Elementary,KK-08,288.6300049,4889.47998,21.67827225,21.09575081,8.726226807,671.25
El Dorado,Gold Oak Union Elementary,KK-08,45,5118.130371,19.28888893,15.16699982,0,671.3
El Dorado,Buckeye Union Elementary,KK-08,186.1000061,5119.123047,20.34927368,19.11700058,0.264061272,671.6
Placer,Rocklin Unified,KK-08,306.3800049,4792.211426,20.96416092,17.62000084,1.447921515,671.6
El Dorado,Gold Trail Union Elementary,KK-08,34.84000015,5450.103516,19.46039009,15.16699982,0.147492617,671.65
Humboldt,Hydesville Elementary,KK-08,8.399999619,5210.724609,19.2857151,10.64299965,0,671.7
Los Angeles,Saugus Union Elementary,KK-06,407.7000122,4715.445801,20.91979408,20.73905563,3.705006361,671.75
Placer,Loomis Union Elementary,KK-08,89.08999634,4632.068359,20.90021324,21.56599998,0.268528461,671.9
Placer,Placer Hills Union Elementary,KK-08,70.5,5028.561523,20.59574509,17.65600014,0,671.9
Sonoma,Dunham Elementary,KK-06,8,5695.466797,19.375,17.70899963,4.516129017,671.95
San Mateo,San Carlos Elementary,KK-08,127.1100006,4504.294922,19.95122337,27.81599998,2.444794893,672.05
Nevada,Ready Springs Union Elementary,KK-08,30.07999992,5156.437012,18.84973335,18.59300041,0,672.05
Madera,Coarsegold Union Elementary,KK-08,52.59999847,5433.51416,18.11787033,14.26299953,0,672.3
San Luis Obispo,Cayucos Elementary,KK-08,15.43000031,5254.631836,19.18340874,22.75799942,5.405405521,672.35
Lassen,Richmond Elementary,KK-08,9,4593.196777,22,12.64000034,0,672.45
Fresno,Clay Joint Elementary,KK-08,10.10000038,4320.678711,21.58415794,11.23799992,6.422018051,672.55
Sonoma,Waugh Elementary,KK-06,36,4920.777344,20.38888931,16.95599937,6.539509296,672.7
Sonoma,Two Rock Union Elementary,KK-06,11.60000038,6905.869141,16.29310226,17.70899963,14.2857151,673.05
San Mateo,Belmont-Redwood Shores Elementary,KK-08,138.3099976,5729.904297,18.27778244,25.62199974,3.678797483,673.25
El Dorado,Rescue Union Elementary,KK-08,154.1699982,4825.202148,19.37471581,18.72599983,0.502176106,673.3
Placer,Alta-Dutch Flat Union Elementary,KK-08,11,5388.17041,18.90909004,13.44299984,0,673.55
San Diego,San Pasqual Union Elementary,KK-08,23.10000038,5133.827148,16.4069252,15.18000031,22.69129372,673.55
El Dorado,Latrobe Elementary,KK-08,9.300000191,5346.15625,15.59139729,19.11700058,0,673.9
Nevada,Union Hill Elementary,KK-08,37.74000168,4789.309082,18.7069416,13.71199989,0.141643062,674.25
Sonoma,Twin Hills Union Elementary,KK-08,47.90000153,5329.782227,18.32985306,17.50799942,2.733485222,675.4
Humboldt,Pacific Union Elementary,KK-08,33.18000031,5371.172852,17.90235138,11.83399963,1.68350172,675.7
Trinity,Douglas City Elementary,KK-08,7.349999905,5771.383789,18.91156578,13.27299976,0,676.15
Nevada,Pleasant Ridge Union Elementary,KK-08,102.7799988,4993.634766,20.32496643,16.3560009,0.143609375,676.55
Placer,Newcastle Elementary,KK-08,16.28000069,4854.038086,20.02456856,18.62599945,0,676.6
Ventura,Mesa Union Elementary,KK-08,21.5,4392.679688,24,23.7329998,11.04651165,676.85
Trinity,Weaverville Elementary,KK-08,25.5,5884.432129,17.6078434,12.93400002,0,676.95
Shasta,North Cow Creek Elementary,KK-08,15.35000038,4273.993164,19.34853363,13.90600014,0,677.25
Nevada,Nevada City Elementary,KK-08,80.23999786,5146.78418,19.67846489,15.42800045,0.063331224,677.95
Humboldt,Jacoby Creek Elementary,KK-08,20.45000076,5351.522949,18.72860527,15.38099957,0,678.05
Sonoma,Fort Ross Elementary,KK-08,5.099999905,7667.571777,15.88235283,22.52899933,0,678.4
San Diego,Encinitas Union Elementary,KK-06,262.230011,5281.708984,20.05491257,23.80609894,15.05989742,678.8
Marin,Dixie Elementary,KK-08,108.9599991,5368.50293,17.98825264,24.60300064,1.479591846,679.4
Santa Clara,Lakeside Joint Elementary,KK-06,8.899999619,6429.257324,16.96629333,36.17399979,2.649006605,679.5
Los Angeles,Hermosa Beach City Elementary,KK-08,49.16999817,5387.458984,19.23937416,33.45500183,1.47991538,679.65
Sonoma,Rincon Valley Union Elementary,KK-06,141.0200043,5235.774902,19.195858,20.4802227,4.469892979,679.75
Monterey,Washington Union Elementary,KK-08,46.88999939,4829.896484,19.59906197,20.13400078,0.326441795,679.8
Sonoma,Bennett Valley Union Elementary,KK-06,46,5088.708008,20.54347801,19.3465004,2.539682627,680.05
Santa Clara,Loma Prieta Joint Union Elemen,KK-08,39.70199966,5390.118164,18.58848381,36.17399979,0.54200542,680.45
Sonoma,Kenwood Elementary,KK-06,10.51000023,6588.430664,15.60418606,22.86333466,11.58536625,681.3
Sonoma,Liberty Elementary,KK-06,10.92000008,6196.694824,15.29304028,17.70899963,11.37724495,681.3
Stanislaus,Knights Ferry Elementary,KK-08,7.079999924,4645.413086,17.6553669,14.17700005,0,681.6
Marin,Kentfield Elementary,KK-08,62.06000137,6489.928711,17.57976151,41.0929985,1.37488544,681.9
Santa Barbara,Ballard Elementary,KK-06,6,5094.958984,22.33333397,21.95700073,2.238806009,682.15
Sonoma,Oak Grove Union Elementary,KK-08,32,4841.958496,18.75,16.06399918,5.333333492,682.45
Marin,Ross Valley Elementary,KK-08,99.59999847,6315.3125,18.10240936,25.73699951,2.773155928,682.55
Santa Cruz,Mountain Elementary,KK-06,7.800000191,5399.383301,20.2564106,20.47400093,0,682.65
San Mateo,Burlingame Elementary,KK-08,127.2200012,5429.473633,18.80207443,35.81000137,17.72575188,683.35
Shasta,Grant Elementary,KK-08,28.02000046,5644.286133,18.77230453,13.56700039,0,683.4
Santa Cruz,Happy Valley Elementary,KK-06,6.909999847,6060.256836,20.40521049,20.0890007,0,684.3
Santa Cruz,Bonny Doon Union Elementary,KK-06,12.60000038,5319.553711,18.65079308,18.28300095,0.425531894,684.35
Contra Costa,Walnut Creek Elementary,KK-08,158.3999939,4819.903809,20.7070713,25.23971558,6.067073345,684.8
Santa Barbara,Hope Elementary,KK-06,57,5208.226074,22,25.06299973,10.12759113,684.95
Marin,Larkspur Elementary,KK-08,53.56000137,5859.964844,17.6997757,30.62849998,3.375527382,686.05
Santa Clara,Cupertino Union Elementary,KK-08,708.8300171,4962.736816,21.48328972,27.47521591,8.648542404,686.7
Santa Cruz,Pacific Elementary,KK-06,4.849999905,7614.379395,16.70103073,30.84000015,12.34567928,687.55
Santa Clara,Los Gatos Union Elementary,KK-08,141.3999939,5566.467773,19.57567215,34.15950012,1.589595318,689.1
Santa Barbara,Montecito Union Elementary,KK-06,31,7039.949219,17.25806427,43.22999954,1.495327115,691.05
San Diego,Solana Beach Elementary,KK-06,146.3000031,6604.063965,17.37525558,27.94775009,10.38552284,691.35
San Mateo,Menlo Park City Elementary,KK-08,111.8199997,6180.148926,17.34931183,49.93899918,6.134020329,691.9
Marin,Reed Union Elementary,KK-08,65.12000275,6460.657227,16.26228523,55.32799911,2.266288996,693.95
Marin,Mill Valley Elementary,KK-08,132.1999969,6415.35498,17.70045471,35.48099899,2.47863245,694.25
Contra Costa,Lafayette Elementary,KK-08,172.3399963,5230.876953,20.1288147,34.30099869,0.893629253,694.8
San Diego,Del Mar Union Elementary,KK-06,115.3000031,5838.171875,18.26539421,38.62857056,2.421652317,695.2
San Mateo,Woodside Elementary,KK-08,32.86999893,7711.506836,14.54213619,35.34199905,3.765690327,695.3
Contra Costa,Moraga Elementary,KK-08,98.41999817,5592.765137,19.15261078,31.05200005,1.962864757,696.55
Contra Costa,Orinda Union Elementary,KK-08,139.4700012,5933.154297,17.36574173,40.26399994,0.578034639,698.2
San Mateo,Hillsborough City Elementary,KK-08,87.05999756,7593.405762,15.13898468,35.81000137,2.807283878,698.25
Santa Barbara,Cold Spring Elementary,KK-06,12.32999992,6500.449707,17.8426609,43.22999954,1.363636374,698.45
San Mateo,Portola Valley Elementary,KK-08,44.59000015,7217.263184,15.40704155,50.67699814,1.164483309,699.1
Santa Clara,Saratoga Union Elementary,KK-08,124.0899963,5392.638672,18.86533928,40.40200043,2.050405741,700.3
San Mateo,Las Lomitas Elementary,KK-08,59.72999954,7290.338867,16.47413445,28.71699905,5.995934963,704.3
Santa Clara,Los Altos Elementary,KK-08,208.4799957,5741.462891,17.86262512,41.73410797,4.726100922,706.75
Ventura,Somis Union Elementary,KK-08,20.14999962,4402.831543,21.88585663,23.7329998,24.26303864,645
Yuba,Plumas Elementary,KK-08,5,4776.336426,20.20000076,9.951999664,2.970297098,672.2
Yuba,Wheatland Elementary,KK-08,93.40000153,5993.392578,19.03640175,12.50199986,5.005624294,655.75
