respondentID,travel_frequency,recline,height,children,arm_rests,middle_arm_rest,window_shade,unsold_seat,talkative,get_up,recline_obligation,rude_recline,remove_recline,switch_friend,switch_family,wakeup_bathroom,wakeup_walk,baby,unruly_children,electronics,smoke,gender,age,income,education,college,region
155,Semiannually,About half the time,66,No,The person in the middle seat gets both arm rests,The arm rests should be shared,Everyone in the row should have some say,No,No,Three times,"Yes, they should not recline their chair if the person behind them asks them not to",Somewhat,Yes,No,No,Somewhat,Somewhat,No,Yes,Yes,No,not_Female,77,$100-150k,Some college or Associate degree,college,New England
156,Semiannually,About half the time,69,Yes,The person in the middle seat gets both arm rests,The arm rests should be shared,Everyone in the row should have some say,No,No,Twice,"No, the person on the flight has no obligation to the person behind them",No,No,Somewhat,Somewhat,No,Somewhat,No,Yes,No,No,not_Female,55,>$150k,Bachelor degree,college,New England
157,Semiannually,Always,72,No,The arm rests should be shared,The arm rests should be shared,The person in the window seat should have exclusive control,No,No,More than five times times,"No, the person on the flight has no obligation to the person behind them",No,No,No,No,No,No,No,Yes,Yes,No,not_Female,55,>$150k,Bachelor degree,college,West South Central
158,Semiannually,Usually,65,No,The arm rests should be shared,The person in aisle,Everyone in the row should have some say,No,No,Twice,"Yes, they should not recline their chair if the person behind them asks them not to",No,No,No,No,No,Somewhat,No,Somewhat,Yes,No,Female,26,$50-100k,Bachelor degree,college,South Atlantic
159,Semiannually,About half the time,63,No,The arm rests should be shared,The arm rests should be shared,The person in the window seat should have exclusive control,No,No,Three times,"No, the person on the flight has no obligation to the person behind them",No,No,Somewhat,No,No,No,No,Somewhat,Yes,No,Female,68,>$150k,Some college or Associate degree,college,West South Central
160,Semiannually,Once in a while,69,No,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,No,No,More than five times times,"Yes, they should not recline their chair if the person behind them asks them not to",No,No,No,No,No,Somewhat,Yes,Yes,No,No,not_Female,45,$25-50k,Some college or Associate degree,college,Mountain
161,Semiannually,Usually,70,No,The person in the middle seat gets both arm rests,The person in aisle,The person in the window seat should have exclusive control,No,No,Four times,"No, the person on the flight has no obligation to the person behind them",No,No,No,No,No,No,Somewhat,Somewhat,Yes,No,not_Female,19,$50-100k,Bachelor degree,college,Pacific
162,Semiannually,Never,71,Yes,The arm rests should be shared,The arm rests should be shared,The person in the window seat should have exclusive control,No,Somewhat,Twice,"Yes, they should not recline their chair if the person behind them asks them not to",Yes,Yes,No,No,No,Somewhat,No,Somewhat,No,No,not_Female,47,>$150k,Graduate degree,college,South Atlantic
163,Semiannually,Usually,64,No,The arm rests should be shared,The person in aisle,Everyone in the row should have some say,Yes,Yes,Three times,"No, the person on the flight has no obligation to the person behind them",No,No,No,No,No,No,Somewhat,Yes,No,No,Female,83,$100-150k,Graduate degree,college,West North Central
164,Semiannually,Usually,65,No,The arm rests should be shared,The person in aisle,Everyone in the row should have some say,Somewhat,No,Three times,"No, the person on the flight has no obligation to the person behind them",No,No,Somewhat,No,Somewhat,Yes,Somewhat,Yes,Yes,No,Female,23,$100-150k,Some college or Associate degree,college,Pacific
165,Semiannually,Usually,69,No,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,Somewhat,No,Three times,"No, the person on the flight has no obligation to the person behind them",No,No,No,No,Yes,Yes,No,No,Yes,No,not_Female,43,$100-150k,Graduate degree,college,South Atlantic
166,Semiannually,About half the time,68,No,The arm rests should be shared,The arm rests should be shared,The person in the window seat should have exclusive control,Yes,Yes,Twice,"Yes, they should not recline their chair if the person behind them asks them not to",No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,not_Female,54,>$150k,Graduate degree,college,West North Central
167,Semiannually,Never,57,No,The arm rests should be shared,Whoever puts their arm on the arm rest first,Everyone in the row should have some say,No,No,More than five times times,"No, the person on the flight has no obligation to the person behind them",Somewhat,No,Somewhat,Somewhat,Somewhat,No,No,Somewhat,No,No,Female,77,>$150k,Graduate degree,college,West North Central
168,Semiannually,Usually,72,No,Other (please specify),The person in aisle,The person in the window seat should have exclusive control,No,No,Three times,"No, the person on the flight has no obligation to the person behind them",No,No,No,No,No,Yes,Yes,Yes,No,No,not_Female,22,$50-100k,Bachelor degree,college,Middle Atlantic
169,Semiannually,Usually,68,Yes,The person in the middle seat gets both arm rests,The person in aisle,Everyone in the row should have some say,No,No,Three times,"Yes, they should not recline their chair if the person behind them asks them not to",No,No,No,No,No,Somewhat,No,No,Yes,No,not_Female,42,>$150k,Bachelor degree,college,East North Central
170,Semiannually,Once in a while,70,No,Other (please specify),Other (please specify),The person in the window seat should have exclusive control,No,No,Four times,"Yes, they should not recline their chair if the person behind them asks them not to",Somewhat,No,No,No,Somewhat,Somewhat,No,Yes,No,No,not_Female,56,$100-150k,Bachelor degree,college,South Atlantic
171,Semiannually,About half the time,66,Yes,The arm rests should be shared,The arm rests should be shared,The person in the window seat should have exclusive control,No,No,Twice,"Yes, they should not recline their chair if the person behind them asks them not to",No,No,Somewhat,No,No,Somewhat,No,Somewhat,No,No,Female,34,$100-150k,Bachelor degree,college,East North Central
172,Semiannually,Never,70,No,The person in the middle seat gets both arm rests,Other (please specify),The person in the window seat should have exclusive control,No,Somewhat,Three times,"Yes, they should not recline their chair if the person behind them asks them not to",Somewhat,No,No,No,Somewhat,Yes,No,No,No,No,not_Female,26,$25-50k,Bachelor degree,college,West North Central
173,Semiannually,Never,76,No,The person in the middle seat gets both arm rests,The arm rests should be shared,The person in the window seat should have exclusive control,Somewhat,No,Twice,"No, the person on the flight has no obligation to the person behind them",Somewhat,Yes,No,No,Somewhat,Yes,No,Somewhat,No,No,not_Female,21,$25-50k,Some college or Associate degree,college,East North Central
174,Semiannually,About half the time,60,No,The arm rests should be shared,The arm rests should be shared,The person in the window seat should have exclusive control,No,Somewhat,Twice,"Yes, they should not recline their chair if the person behind them asks them not to",No,No,No,No,No,Somewhat,No,Somewhat,No,No,Female,41,$50-100k,Graduate degree,college,East North Central
175,Semiannually,About half the time,60,No,The person in the middle seat gets both arm rests,The arm rests should be shared,The person in the window seat should have exclusive control,No,No,Twice,"No, the person on the flight has no obligation to the person behind them",No,No,No,No,Somewhat,Somewhat,Yes,Yes,No,No,Female,41,$50-100k,Bachelor degree,college,New England
176,Semiannually,Never,67,Yes,Whoever puts their arm on the arm rest first,Whoever puts their arm on the arm rest first,Everyone in the row should have some say,No,No,Twice,"No, the person on the flight has no obligation to the person behind them",No,No,No,No,No,No,No,No,No,No,not_Female,46,>$150k,Bachelor degree,college,Middle Atlantic
177,Semiannually,Never,75,No,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,No,No,Once,"Yes, they should not recline their chair if the person behind them asks them not to",Somewhat,Yes,No,No,Somewhat,No,No,Somewhat,No,No,not_Female,50,>$150k,Bachelor degree,college,West South Central
178,Semiannually,Once in a while,65,No,The person in the middle seat gets both arm rests,Whoever puts their arm on the arm rest first,Everyone in the row should have some say,No,No,Three times,"No, the person on the flight has no obligation to the person behind them",No,Yes,No,No,No,No,No,Somewhat,No,No,not_Female,45,$50-100k,Some college or Associate degree,college,Middle Atlantic
179,Semiannually,About half the time,64,No,The arm rests should be shared,The arm rests should be shared,The person in the window seat should have exclusive control,No,No,Twice,"No, the person on the flight has no obligation to the person behind them",No,No,Yes,Yes,Somewhat,Somewhat,Yes,Yes,No,No,Female,71,$25-50k,Graduate degree,college,West North Central
180,Semiannually,Always,68,No,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,No,No,Three times,"No, the person on the flight has no obligation to the person behind them",No,No,No,No,No,No,No,Somewhat,No,No,not_Female,52,$100-150k,Bachelor degree,college,Pacific
181,Semiannually,Always,76,No,The people in the aisle and window seats get both arm rests,The person in aisle,The person in the window seat should have exclusive control,Somewhat,Somewhat,Once,"Yes, they should not recline their chair if the person behind them asks them not to",Yes,Yes,Somewhat,Yes,Somewhat,Somewhat,Somewhat,Somewhat,Yes,Yes,not_Female,22,$25-50k,Bachelor degree,college,Middle Atlantic
182,Semiannually,Usually,64,Yes,The person in the middle seat gets both arm rests,Whoever puts their arm on the arm rest first,Everyone in the row should have some say,Somewhat,Somewhat,Three times,"No, the person on the flight has no obligation to the person behind them",No,No,No,No,Somewhat,Somewhat,No,No,No,No,Female,34,>$150k,Graduate degree,college,East North Central
183,Semiannually,Once in a while,69,No,Whoever puts their arm on the arm rest first,Whoever puts their arm on the arm rest first,The person in the window seat should have exclusive control,No,No,More than five times times,"No, the person on the flight has no obligation to the person behind them",Somewhat,No,No,No,No,Somewhat,Somewhat,Yes,Yes,No,Female,28,$25-50k,Bachelor degree,college,South Atlantic
184,Semiannually,About half the time,72,Yes,The person in the middle seat gets both arm rests,The arm rests should be shared,Everyone in the row should have some say,No,No,Three times,"Yes, they should not recline their chair if the person behind them asks them not to",Somewhat,Yes,No,No,Somewhat,Somewhat,No,Somewhat,No,No,not_Female,31,$100-150k,Bachelor degree,college,West South Central
185,Semiannually,Never,73,No,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,No,Somewhat,Four times,"Yes, they should not recline their chair if the person behind them asks them not to",Yes,Yes,No,No,No,Somewhat,No,Somewhat,No,No,Female,78,$100-150k,Graduate degree,college,South Atlantic
186,Semiannually,Usually,66,Yes,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,No,No,Twice,"No, the person on the flight has no obligation to the person behind them",No,No,Somewhat,Somewhat,Somewhat,Yes,Somewhat,Somewhat,No,No,not_Female,32,>$150k,Graduate degree,college,Pacific
187,Semiannually,Never,67,No,The arm rests should be shared,The person by the window,Everyone in the row should have some say,No,No,Twice,"Yes, they should not recline their chair if the person behind them asks them not to",Yes,Yes,Somewhat,Somewhat,No,Yes,Somewhat,Yes,No,No,Female,82,$100-150k,Graduate degree,college,West South Central
188,Semiannually,Once in a while,63,No,The arm rests should be shared,The arm rests should be shared,The person in the window seat should have exclusive control,No,No,Twice,"Yes, they should not recline their chair if the person behind them asks them not to",Somewhat,No,No,No,No,No,No,Somewhat,No,No,Female,25,$50-100k,Bachelor degree,college,Middle Atlantic
189,Semiannually,Once in a while,64,Yes,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,No,No,Three times,"Yes, they should not recline their chair if the person behind them asks them not to",Somewhat,No,No,No,No,No,No,Yes,No,No,Female,47,$100-150k,Graduate degree,college,South Atlantic
190,Semiannually,About half the time,67,No,The arm rests should be shared,Whoever puts their arm on the arm rest first,Everyone in the row should have some say,Yes,Somewhat,Twice,"Yes, they should not recline their chair if the person behind them asks them not to",No,No,No,No,Somewhat,Yes,Somewhat,Yes,No,No,Female,35,$50-100k,Some college or Associate degree,college,Mountain
191,Semiannually,About half the time,68,No,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,No,No,Four times,"No, the person on the flight has no obligation to the person behind them",Somewhat,Yes,Somewhat,Somewhat,Somewhat,Somewhat,No,Yes,No,No,not_Female,63,$50-100k,Graduate degree,college,South Atlantic
192,Semiannually,Once in a while,68,Yes,The arm rests should be shared,The arm rests should be shared,The person in the window seat should have exclusive control,No,No,Twice,"Yes, they should not recline their chair if the person behind them asks them not to",Somewhat,No,No,No,Somewhat,Yes,No,Yes,No,No,Female,60,>$150k,Graduate degree,college,South Atlantic
193,Semiannually,Once in a while,69,No,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,No,No,Once,"Yes, they should not recline their chair if the person behind them asks them not to",No,No,No,No,Somewhat,Somewhat,No,Somewhat,Yes,No,Female,19,$50-100k,Bachelor degree,college,Middle Atlantic
194,Semiannually,Usually,62,No,The person in the middle seat gets both arm rests,The arm rests should be shared,The person in the window seat should have exclusive control,No,Somewhat,Twice,"No, the person on the flight has no obligation to the person behind them",No,Yes,Somewhat,Somewhat,No,Somewhat,No,Somewhat,Yes,No,Female,71,$100-150k,Bachelor degree,college,Mountain
195,Semiannually,Once in a while,72,No,Whoever puts their arm on the arm rest first,The arm rests should be shared,Everyone in the row should have some say,No,No,Three times,"Yes, they should not recline their chair if the person behind them asks them not to",No,No,No,No,No,Somewhat,No,Somewhat,No,No,not_Female,51,>$150k,Graduate degree,college,Pacific
196,Semiannually,About half the time,66,No,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,Somewhat,No,Twice,"No, the person on the flight has no obligation to the person behind them",No,No,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Yes,No,No,not_Female,33,$50-100k,Bachelor degree,college,West South Central
198,Semiannually,Once in a while,68,No,The arm rests should be shared,The arm rests should be shared,The person in the window seat should have exclusive control,No,No,More than five times times,"Yes, they should not recline their chair if the person behind them asks them not to",No,No,No,No,Somewhat,Somewhat,No,Yes,No,No,Female,24,$100-150k,Bachelor degree,college,South Atlantic
199,Semiannually,Usually,68,No,The person in the middle seat gets both arm rests,The arm rests should be shared,The person in the window seat should have exclusive control,No,No,Four times,"Yes, they should not recline their chair if the person behind them asks them not to",No,No,No,No,No,No,No,Somewhat,No,No,Female,52,$100-150k,Some college or Associate degree,college,New England
200,Semiannually,Never,71,No,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,No,No,Four times,"Yes, they should not recline their chair if the person behind them asks them not to",Somewhat,No,Somewhat,No,No,Somewhat,No,Somewhat,No,No,not_Female,51,>$150k,Graduate degree,college,East North Central
201,Semiannually,Always,62,No,The arm rests should be shared,The arm rests should be shared,The person in the window seat should have exclusive control,No,Somewhat,Twice,"No, the person on the flight has no obligation to the person behind them",No,No,Somewhat,No,No,Somewhat,No,No,No,No,Female,19,$50-100k,Graduate degree,college,Middle Atlantic
202,Semiannually,Once in a while,66,No,The arm rests should be shared,Other (please specify),The person in the window seat should have exclusive control,Somewhat,No,Once,"No, the person on the flight has no obligation to the person behind them",No,No,No,No,No,No,No,Yes,No,No,Female,53,$50-100k,Some college or Associate degree,college,West South Central
203,Semiannually,Never,64,,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,No,No,Three times,"Yes, they should not recline their chair if the person behind them asks them not to",No,Yes,No,No,No,Somewhat,No,No,No,No,Female,37,<$25k,Some college or Associate degree,college,South Atlantic
204,Semiannually,Usually,66,No,The person in the middle seat gets both arm rests,Whoever puts their arm on the arm rest first,Everyone in the row should have some say,No,No,Twice,"Yes, they should not recline their chair if the person behind them asks them not to",Somewhat,No,No,No,No,Somewhat,Somewhat,Yes,Yes,No,Female,19,$50-100k,High school degree,HS,Mountain
205,Semiannually,Once in a while,67,No,The arm rests should be shared,The arm rests should be shared,The person in the window seat should have exclusive control,No,Somewhat,Three times,"No, the person on the flight has no obligation to the person behind them",Somewhat,No,No,No,Somewhat,Yes,No,No,No,No,Female,21,$50-100k,High school degree,HS,Pacific
206,Semiannually,Always,72,Yes,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,No,No,Twice,"Yes, they should not recline their chair if the person behind them asks them not to",No,No,No,No,Somewhat,Yes,No,Yes,No,No,Female,49,$50-100k,Some college or Associate degree,college,West South Central
207,Semiannually,Always,66,No,The arm rests should be shared,The arm rests should be shared,The person in the window seat should have exclusive control,No,No,Four times,"No, the person on the flight has no obligation to the person behind them",Somewhat,No,Somewhat,Somewhat,No,No,No,Somewhat,Yes,No,Female,29,>$150k,Bachelor degree,college,Pacific
208,Semiannually,Always,68,No,The arm rests should be shared,The arm rests should be shared,The person in the window seat should have exclusive control,No,No,Three times,"No, the person on the flight has no obligation to the person behind them",No,No,No,No,No,No,No,Somewhat,No,No,Female,39,$100-150k,Graduate degree,college,South Atlantic
209,Semiannually,Always,68,Yes,Whoever puts their arm on the arm rest first,Whoever puts their arm on the arm rest first,Everyone in the row should have some say,No,No,Three times,"No, the person on the flight has no obligation to the person behind them",No,No,No,No,No,Somewhat,No,Somewhat,No,No,not_Female,41,>$150k,Some college or Associate degree,college,Pacific
210,Semiannually,Usually,73,No,Whoever puts their arm on the arm rest first,Whoever puts their arm on the arm rest first,Everyone in the row should have some say,No,No,Four times,"No, the person on the flight has no obligation to the person behind them",No,No,No,No,No,Somewhat,Yes,Yes,No,No,not_Female,26,>$150k,Graduate degree,college,Pacific
212,Semiannually,Once in a while,61,No,The people in the aisle and window seats get both arm rests,The arm rests should be shared,Everyone in the row should have some say,No,No,Once,"Yes, they should not recline their chair if the person behind them asks them not to",Somewhat,Yes,No,No,Somewhat,Somewhat,No,Somewhat,No,No,Female,24,$50-100k,High school degree,HS,South Atlantic
213,Semiannually,Once in a while,67,No,Whoever puts their arm on the arm rest first,Whoever puts their arm on the arm rest first,The person in the window seat should have exclusive control,No,No,Once,"No, the person on the flight has no obligation to the person behind them",No,No,Somewhat,Somewhat,Somewhat,Somewhat,No,No,No,No,Female,50,$100-150k,Graduate degree,college,East North Central
214,Semiannually,Once in a while,69,No,The person in the middle seat gets both arm rests,The arm rests should be shared,Everyone in the row should have some say,No,No,Four times,"Yes, they should not recline their chair if the person behind them asks them not to",No,No,No,No,No,No,No,Yes,No,No,Female,74,$100-150k,Graduate degree,college,East North Central
215,Semiannually,About half the time,70,No,The person in the middle seat gets both arm rests,Whoever puts their arm on the arm rest first,The person in the window seat should have exclusive control,No,No,Three times,"No, the person on the flight has no obligation to the person behind them",No,No,No,No,No,Somewhat,No,Somewhat,Yes,No,not_Female,21,$50-100k,Bachelor degree,college,Pacific
216,Semiannually,Once in a while,64,No,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,No,No,Four times,"Yes, they should not recline their chair if the person behind them asks them not to",Somewhat,No,No,No,No,No,No,Yes,No,No,Female,62,>$150k,Graduate degree,college,West South Central
217,Semiannually,Always,69,No,The person in the middle seat gets both arm rests,The person in aisle,The person in the window seat should have exclusive control,Somewhat,No,Four times,"No, the person on the flight has no obligation to the person behind them",No,No,No,No,No,No,Somewhat,Yes,Yes,No,not_Female,39,$25-50k,Bachelor degree,college,Pacific
218,Semiannually,Once in a while,66,Yes,Whoever puts their arm on the arm rest first,Whoever puts their arm on the arm rest first,The person in the window seat should have exclusive control,No,No,Four times,"Yes, they should not recline their chair if the person behind them asks them not to",Somewhat,No,No,No,Somewhat,Somewhat,No,Yes,No,No,Female,34,>$150k,Graduate degree,college,Middle Atlantic
219,Semiannually,About half the time,63,No,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,No,No,Three times,"Yes, they should not recline their chair if the person behind them asks them not to",Somewhat,No,No,No,Somewhat,Somewhat,No,No,No,No,Female,57,$50-100k,Graduate degree,college,Pacific
220,Semiannually,Once in a while,66,No,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,No,No,Four times,"No, the person on the flight has no obligation to the person behind them",No,Yes,No,No,No,Somewhat,Somewhat,Yes,No,No,Female,62,>$150k,Graduate degree,college,West North Central
221,Semiannually,Never,66,No,The person in the middle seat gets both arm rests,The arm rests should be shared,Everyone in the row should have some say,Yes,No,Three times,"Yes, they should not recline their chair if the person behind them asks them not to",Somewhat,Yes,No,No,No,Somewhat,No,Somewhat,No,No,Female,28,$50-100k,Bachelor degree,college,Pacific
222,Semiannually,Usually,64,No,The arm rests should be shared,The arm rests should be shared,The person in the window seat should have exclusive control,Somewhat,No,Twice,"No, the person on the flight has no obligation to the person behind them",No,No,No,No,No,Yes,Somewhat,Yes,No,No,Female,60,$50-100k,Graduate degree,college,South Atlantic
223,Semiannually,Once in a while,71,No,Whoever puts their arm on the arm rest first,Whoever puts their arm on the arm rest first,Everyone in the row should have some say,No,No,Twice,"Yes, they should not recline their chair if the person behind them asks them not to",No,No,No,No,Somewhat,Somewhat,Somewhat,Somewhat,No,No,not_Female,80,>$150k,Graduate degree,college,Pacific
224,Semiannually,Usually,69,Yes,The person in the middle seat gets both arm rests,Whoever puts their arm on the arm rest first,Everyone in the row should have some say,No,Somewhat,Twice,"Yes, they should not recline their chair if the person behind them asks them not to",No,No,No,No,Somewhat,Yes,No,Somewhat,No,No,Female,54,$100-150k,Graduate degree,college,Pacific
225,Semiannually,About half the time,63,No,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,No,Somewhat,Three times,"Yes, they should not recline their chair if the person behind them asks them not to",Somewhat,Yes,No,No,No,Somewhat,Yes,Yes,No,No,Female,69,>$150k,Graduate degree,college,East North Central
226,Semiannually,Once in a while,65,Yes,The person in the middle seat gets both arm rests,Whoever puts their arm on the arm rest first,Everyone in the row should have some say,Somewhat,No,Twice,"Yes, they should not recline their chair if the person behind them asks them not to",Somewhat,No,No,No,No,Somewhat,No,Yes,No,No,Female,73,>$150k,Graduate degree,college,West South Central
227,Semiannually,About half the time,65,Yes,The person in the middle seat gets both arm rests,The person in aisle,Everyone in the row should have some say,No,No,Three times,"No, the person on the flight has no obligation to the person behind them",No,No,No,No,No,Somewhat,No,Somewhat,No,No,Female,43,$100-150k,Graduate degree,college,Pacific
228,Semiannually,Usually,63,No,Whoever puts their arm on the arm rest first,Whoever puts their arm on the arm rest first,Everyone in the row should have some say,No,No,Three times,"No, the person on the flight has no obligation to the person behind them",No,No,No,No,Somewhat,Somewhat,Somewhat,Yes,Yes,No,Female,29,$25-50k,Bachelor degree,college,West North Central
229,Semiannually,Once in a while,70,No,The arm rests should be shared,The arm rests should be shared,The person in the window seat should have exclusive control,No,No,Twice,"Yes, they should not recline their chair if the person behind them asks them not to",Somewhat,No,No,No,No,Somewhat,No,Somewhat,No,No,not_Female,63,$50-100k,Graduate degree,college,West South Central
230,Semiannually,About half the time,66,No,The arm rests should be shared,The arm rests should be shared,The person in the window seat should have exclusive control,No,No,Twice,"No, the person on the flight has no obligation to the person behind them",No,No,No,No,No,No,No,Somewhat,No,No,Female,68,>$150k,Graduate degree,college,West South Central
231,Semiannually,Once in a while,61,Yes,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,No,Somewhat,Four times,"No, the person on the flight has no obligation to the person behind them",Somewhat,Yes,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Yes,No,No,Female,53,>$150k,Graduate degree,college,East North Central
232,Semiannually,Never,64,No,The arm rests should be shared,The person by the window,The person in the window seat should have exclusive control,No,Somewhat,Three times,"No, the person on the flight has no obligation to the person behind them",Somewhat,Yes,No,No,Somewhat,Yes,No,Yes,Yes,No,Female,58,$50-100k,Some college or Associate degree,college,East North Central
233,Semiannually,Once in a while,69,No,The person in the middle seat gets both arm rests,The arm rests should be shared,Everyone in the row should have some say,No,No,Three times,"Yes, they should not recline their chair if the person behind them asks them not to",Somewhat,Yes,No,No,No,Somewhat,No,Somewhat,No,No,Female,57,$25-50k,Some college or Associate degree,college,Pacific
234,Semiannually,Once in a while,62,No,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,No,No,Twice,"Yes, they should not recline their chair if the person behind them asks them not to",Somewhat,No,No,No,Yes,Yes,Somewhat,Somewhat,Yes,No,Female,22,<$25k,Graduate degree,college,Pacific
235,Semiannually,Usually,77,No,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,No,No,Four times,"Yes, they should not recline their chair if the person behind them asks them not to",Somewhat,No,No,No,No,Somewhat,Somewhat,Somewhat,Yes,No,not_Female,20,$25-50k,Some college or Associate degree,college,East North Central
236,Semiannually,Once in a while,68,No,The arm rests should be shared,The arm rests should be shared,The person in the window seat should have exclusive control,No,No,Four times,"Yes, they should not recline their chair if the person behind them asks them not to",Somewhat,No,No,No,No,Somewhat,No,Yes,No,No,not_Female,81,>$150k,Graduate degree,college,Pacific
237,Semiannually,About half the time,72,No,The arm rests should be shared,The arm rests should be shared,The person in the window seat should have exclusive control,No,No,Four times,"Yes, they should not recline their chair if the person behind them asks them not to",Somewhat,Yes,No,No,No,Somewhat,No,Yes,No,No,not_Female,53,$100-150k,Bachelor degree,college,West North Central
238,Semiannually,Once in a while,64,No,The people in the aisle and window seats get both arm rests,The person by the window,The person in the window seat should have exclusive control,No,No,Three times,"No, the person on the flight has no obligation to the person behind them",Somewhat,Yes,No,No,Yes,Yes,No,No,Yes,No,Female,26,$100-150k,Bachelor degree,college,East North Central
239,Occasionally,About half the time,75,Yes,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,No,No,Twice,"Yes, they should not recline their chair if the person behind them asks them not to",Somewhat,No,No,No,No,No,No,No,No,No,not_Female,44,$100-150k,Graduate degree,college,Pacific
240,Occasionally,Usually,68,No,Whoever puts their arm on the arm rest first,The arm rests should be shared,The person in the window seat should have exclusive control,No,No,Three times,"Yes, they should not recline their chair if the person behind them asks them not to",No,No,No,No,No,Somewhat,Somewhat,Yes,No,No,not_Female,35,$100-150k,Bachelor degree,college,Pacific
241,Occasionally,Always,71,No,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,No,No,Three times,"No, the person on the flight has no obligation to the person behind them",No,No,Somewhat,No,No,Somewhat,Somewhat,Yes,No,No,not_Female,40,<$25k,Bachelor degree,college,Pacific
242,Occasionally,Usually,69,Yes,Whoever puts their arm on the arm rest first,Whoever puts their arm on the arm rest first,The person in the window seat should have exclusive control,Somewhat,No,Once,"Yes, they should not recline their chair if the person behind them asks them not to",No,No,Somewhat,No,Somewhat,Yes,Yes,Yes,No,No,not_Female,38,$25-50k,Graduate degree,college,East North Central
243,Occasionally,Once in a while,72,Yes,The arm rests should be shared,The arm rests should be shared,The person in the window seat should have exclusive control,No,No,Four times,"Yes, they should not recline their chair if the person behind them asks them not to",No,Yes,No,No,No,Somewhat,Somewhat,Yes,No,No,not_Female,37,<$25k,Bachelor degree,college,New England
245,Occasionally,Never,66,No,Other (please specify),Other (please specify),Everyone in the row should have some say,Yes,Yes,It is not okay to get up during flight,"Yes, they should not recline their chair if the person behind them asks them not to",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,not_Female,32,<$25k,Bachelor degree,college,Pacific
247,Occasionally,Once in a while,72,No,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,No,Somewhat,Twice,"Yes, they should not recline their chair if the person behind them asks them not to",Somewhat,No,Somewhat,No,No,Somewhat,Somewhat,Yes,No,No,not_Female,24,>$150k,Some college or Associate degree,college,East South Central
248,Occasionally,Always,68,Yes,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,No,No,Once,"No, the person on the flight has no obligation to the person behind them",No,No,No,No,Somewhat,Yes,No,No,No,No,not_Female,40,$100-150k,Some college or Associate degree,college,Middle Atlantic
249,Occasionally,Once in a while,73,No,The arm rests should be shared,The arm rests should be shared,The person in the window seat should have exclusive control,No,No,More than five times times,"Yes, they should not recline their chair if the person behind them asks them not to",Somewhat,Yes,No,No,No,No,No,No,Yes,No,not_Female,33,>$150k,Bachelor degree,college,West North Central
250,Occasionally,Never,70,No,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,No,No,More than five times times,"Yes, they should not recline their chair if the person behind them asks them not to",Yes,Yes,No,No,No,No,No,No,No,No,not_Female,23,$25-50k,Bachelor degree,college,South Atlantic
251,Occasionally,Once in a while,67,No,The arm rests should be shared,The arm rests should be shared,The person in the window seat should have exclusive control,No,No,Twice,"No, the person on the flight has no obligation to the person behind them",No,No,No,No,No,No,No,Somewhat,No,No,not_Female,31,<$25k,Bachelor degree,college,East North Central
252,Occasionally,Once in a while,72,No,The arm rests should be shared,Whoever puts their arm on the arm rest first,Everyone in the row should have some say,No,No,Twice,"Yes, they should not recline their chair if the person behind them asks them not to",No,No,No,No,No,Somewhat,No,Yes,No,No,not_Female,33,$25-50k,Bachelor degree,college,East North Central
253,Occasionally,About half the time,74,No,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,No,No,Four times,"Yes, they should not recline their chair if the person behind them asks them not to",No,No,Somewhat,Somewhat,No,No,Somewhat,Yes,Yes,No,not_Female,19,$50-100k,Some college or Associate degree,college,West South Central
