Name,survived,sex,age,passengerClass
"Guest, Mr. Robert",no,male,Child,3rd
"Guggenheim, Mr. Benjamin",no,male,Adult,1st
"Gustafsson, Mr. Alfred Ossian",no,male,Youth,3rd
"Gustafsson, Mr. Anders Vilhelm",no,male,Adult,3rd
"Gustafsson, Mr. Johan Birger",no,male,Adult,3rd
"Gustafsson, Mr. Karl Gideon",no,male,Youth,3rd
"Haas, Miss. Aloisia",no,female,Adult,3rd
"Hagardon, Miss. Kate",no,female,Youth,3rd
"Hagland, Mr. Ingvald Olai Olsen",no,male,Child,3rd
"Hagland, Mr. Konrad Mathias Rei",no,male,Child,3rd
"Hakkarainen, Mr. Pekka Pietari",no,male,Adult,3rd
"Hakkarainen, Mrs. Pekka Pietari",yes,female,Adult,3rd
"Hale, Mr. Reginald",no,male,Adult,2nd
"Hamalainen, Master. Viljo",yes,male,Child,2nd
"Hamalainen, Mrs. William (Anna)",yes,female,Adult,2nd
"Hampe, Mr. Leon",no,male,Youth,3rd
"Hanna, Mr. Mansour",no,male,Adult,3rd
"Hansen, Mr. Claus Peter",no,male,Adult,3rd
"Hansen, Mr. Henrik Juul",no,male,Adult,3rd
"Hansen, Mr. Henry Damsgaard",no,male,Adult,3rd
"Hansen, Mrs. Claus Peter (Jenni",yes,female,Adult,3rd
"Harbeck, Mr. William H",no,male,Adult,2nd
"Harder, Mr. George Achilles",yes,male,Adult,1st
"Harder, Mrs. George Achilles (D",yes,female,Adult,1st
"Harknett, Miss. Alice Phoebe",no,female,Child,3rd
"Harmer, Mr. Abraham (David Lish",no,male,Adult,3rd
"Harper, Miss. Annie Jessie Nin",yes,female,Child,2nd
"Harper, Mr. Henry Sleeper",yes,male,Adult,1st
"Harper, Mrs. Henry Sleeper (Myn",yes,female,Adult,1st
"Harper, Rev. John",no,male,Adult,2nd
"Harrington, Mr. Charles H",no,male,Child,1st
"Harris, Mr. George",yes,male,Old,2nd
"Harris, Mr. Henry Birkhardt",no,male,Adult,1st
"Harris, Mr. Walter",no,male,Adult,2nd
"Harris, Mrs. Henry Birkhardt (I",yes,female,Adult,1st
"Harrison, Mr. William",no,male,Adult,1st
"Hart, Miss. Eva Miriam",yes,female,Child,2nd
"Hart, Mr. Benjamin",no,male,Adult,2nd
"Hart, Mr. Henry",no,male,Child,3rd
"Hart, Mrs. Benjamin (Esther Ada",yes,female,Adult,2nd
"Hassab, Mr. Hammad",yes,male,Adult,1st
"Hassan, Mr. Houssein G N",no,male,Child,3rd
"Hawksford, Mr. Walter James",yes,male,Child,1st
"Hays, Miss. Margaret Bechstein",yes,female,Adult,1st
"Hays, Mr. Charles Melville",no,male,Adult,1st
"Hays, Mrs. Charles Melville (Cl",yes,female,Adult,1st
"Head, Mr. Christopher",no,male,Adult,1st
"Healy, Miss. Hanora Nora",yes,female,Child,3rd
"Hedman, Mr. Oskar Arvid",yes,male,Adult,3rd
"Hee, Mr. Ling",yes,male,Child,3rd
"Hegarty, Miss. Hanora Nora",no,female,Youth,3rd
"Heikkinen, Miss. Laina",yes,female,Adult,3rd
"Heininen, Miss. Wendla Maria",no,female,Adult,3rd
"Hellstrom, Miss. Hilda Maria",yes,female,Adult,3rd
"Hendekovic, Mr. Ignjac",no,male,Adult,3rd
"Henriksson, Miss. Jenny Lovisa",no,female,Adult,3rd
"Henry, Miss. Delia",no,female,Child,3rd
"Herman, Miss. Alice",yes,female,Adult,2nd
"Herman, Miss. Kate",yes,female,Adult,2nd
"Herman, Mr. Samuel",no,male,Adult,2nd
"Herman, Mrs. Samuel (Jane Laver",yes,female,Adult,2nd
"Hewlett, Mrs. (Mary D Kingcome)",yes,female,Adult,2nd
"Hickman, Mr. Leonard Mark",no,male,Adult,2nd
"Hickman, Mr. Lewis",no,male,Adult,2nd
"Hickman, Mr. Stanley George",no,male,Adult,2nd
"Hilliard, Mr. Herbert Henry",no,male,Child,1st
"Hiltunen, Miss. Marta",no,female,Youth,2nd
"Hipkins, Mr. William Edward",no,male,Adult,1st
"Hippach, Miss. Jean Gertrude",yes,female,Youth,1st
"Hippach, Mrs. Louis Albert (Ida",yes,female,Adult,1st
"Hirvonen, Miss. Hildur E",yes,female,Child,3rd
"Hirvonen, Mrs. Alexander (Helga",yes,female,Adult,3rd
"Hocking, Miss. Ellen Nellie",yes,female,Youth,2nd
"Hocking, Mr. Richard George",no,male,Adult,2nd
"Hocking, Mr. Samuel James Metca",no,male,Adult,2nd
"Hocking, Mrs. Elizabeth (Eliza",yes,female,Adult,2nd
"Hodges, Mr. Henry Price",no,male,Adult,2nd
"Hogeboom, Mrs. John C (Anna And",yes,female,Adult,1st
"Hold, Mr. Stephen",no,male,Adult,2nd
"Hold, Mrs. Stephen (Annie Marga",yes,female,Adult,2nd
"Holm, Mr. John Fredrik Alexande",no,male,Adult,3rd
"Holthen, Mr. Johan Martin",no,male,Adult,3rd
"Holverson, Mr. Alexander Oskar",no,male,Adult,1st
"Holverson, Mrs. Alexander Oskar",yes,female,Adult,1st
"Homer, Mr. Harry (Mr E Haven)",yes,male,Adult,1st
"Honkanen, Miss. Eliina",yes,female,Adult,3rd
"Hood, Mr. Ambrose Jr",no,male,Adult,2nd
"Horgan, Mr. John",no,male,Child,3rd
"Hosono, Mr. Masabumi",yes,male,Adult,2nd
"Howard, Miss. May Elizabeth",yes,female,Child,3rd
"Howard, Mr. Benjamin",no,male,Old,2nd
"Howard, Mrs. Benjamin (Ellen Tr",no,female,Old,2nd
"Hoyt, Mr. Frederick Maxfield",yes,male,Adult,1st
"Hoyt, Mr. William Fisher",no,male,Child,1st
"Hoyt, Mrs. Frederick Maxfield (",yes,female,Adult,1st
"Humblen, Mr. Adolf Mathias Nico",no,male,Adult,3rd
"Hunt, Mr. George Henry",no,male,Adult,2nd
"Hyman, Mr. Abraham",yes,male,Child,3rd
"Ibrahim Shawah, Mr. Yousseff",no,male,Adult,3rd
"Icard, Miss. Amelie",yes,female,Adult,1st
"Ilett, Miss. Bertha",yes,female,Youth,2nd
"Ilieff, Mr. Ylio",no,male,Child,3rd
"Ilmakangas, Miss. Ida Livija",no,female,Adult,3rd
"Ilmakangas, Miss. Pieta Sofia",no,female,Adult,3rd
"Isham, Miss. Ann Elizabeth",no,female,Adult,1st
"Ismay, Mr. Joseph Bruce",yes,male,Adult,1st
"Ivanoff, Mr. Kanio",no,male,Child,3rd
"Jacobsohn, Mr. Sidney Samuel",no,male,Adult,2nd
"Jacobsohn, Mrs. Sidney Samuel (",yes,female,Adult,2nd
"Jalsevac, Mr. Ivan",yes,male,Adult,3rd
"Jansson, Mr. Carl Olof",yes,male,Adult,3rd
"Jardin, Mr. Jose Neto",no,male,Child,3rd
"Jarvis, Mr. John Denzil",no,male,Adult,2nd
"Jefferys, Mr. Clifford Thomas",no,male,Adult,2nd
"Jefferys, Mr. Ernest Wilfred",no,male,Adult,2nd
"Jenkin, Mr. Stephen Curnow",no,male,Adult,2nd
"Jensen, Mr. Hans Peder",no,male,Youth,3rd
"Jensen, Mr. Niels Peder",no,male,Adult,3rd
"Jensen, Mr. Svend Lauritz",no,male,Youth,3rd
"Jermyn, Miss. Annie",yes,female,Child,3rd
"Jerwan, Mrs. Amin S (Marie Mart",yes,female,Adult,2nd
"Johannesen-Bratthammer, Mr. Ber",yes,male,Child,3rd
"Johanson, Mr. Jakob Alfred",no,male,Adult,3rd
"Johansson Palmquist, Mr. Oskar",yes,male,Adult,3rd
"Johansson, Mr. Erik",no,male,Adult,3rd
"Johansson, Mr. Gustaf Joel",no,male,Adult,3rd
"Johansson, Mr. Karl Johan",no,male,Adult,3rd
"Johansson, Mr. Nils",no,male,Adult,3rd
"Johnson, Master. Harold Theodor",yes,male,Child,3rd
"Johnson, Miss. Eleanor Ileen",yes,female,Child,3rd
"Johnson, Mr. Alfred",no,male,Adult,3rd
"Johnson, Mr. Malkolm Joackim",no,male,Adult,3rd
"Johnson, Mr. William Cahoone Jr",no,male,Youth,3rd
"Johnson, Mrs. Oscar W (Elisabet",yes,female,Adult,3rd
"Johnston, Master. William Arthu",no,male,Child,3rd
"Johnston, Miss. Catherine Helen",no,female,Child,3rd
"Johnston, Mr. Andrew G",no,male,Child,3rd
"Johnston, Mrs. Andrew G (Elizab",no,female,Child,3rd
"Jones, Mr. Charles Cresson",no,male,Adult,1st
"Jonkoff, Mr. Lalio",no,male,Adult,3rd
"Jonsson, Mr. Carl",yes,male,Adult,3rd
"Jonsson, Mr. Nils Hilding",no,male,Adult,3rd
"Julian, Mr. Henry Forbes",no,male,Adult,1st
"Jussila, Miss. Katriina",no,female,Youth,3rd
"Jussila, Miss. Mari Aina",no,female,Adult,3rd
"Jussila, Mr. Eiriik",yes,male,Adult,3rd
"Kallio, Mr. Nikolai Erland",no,male,Youth,3rd
"Kalvik, Mr. Johannes Halvorsen",no,male,Adult,3rd
"Kantor, Mr. Sinai",no,male,Adult,2nd
"Kantor, Mrs. Sinai (Miriam Ster",yes,female,Adult,2nd
"Karaic, Mr. Milan",no,male,Adult,3rd
"Karlsson, Mr. Einar Gervasius",yes,male,Adult,3rd
"Karlsson, Mr. Julius Konrad Eug",no,male,Adult,3rd
"Karlsson, Mr. Nils August",no,male,Adult,3rd
"Karnes, Mrs. J Frank (Claire Be",no,female,Adult,2nd
"Karun, Miss. Manca",yes,female,Child,3rd
"Karun, Mr. Franz",yes,male,Adult,3rd
"Kassem, Mr. Fared",no,male,Child,3rd
"Katavelas, Mr. Vassilios (Cata",no,male,Youth,3rd
"Keane, Miss. Nora A",yes,female,Child,2nd
"Keane, Mr. Andrew Andy",no,male,Child,3rd
"Keane, Mr. Daniel",no,male,Adult,2nd
"Keefe, Mr. Arthur",no,male,Child,3rd
"Keeping, Mr. Edwin",no,male,Adult,1st
"Kelly, Miss. Anna Katherine An",yes,female,Child,3rd
"Kelly, Miss. Mary",yes,female,Child,3rd
"Kelly, Mr. James (A)",no,male,Adult,3rd
"Kelly, Mr. James (B)",no,male,Adult,3rd
"Kelly, Mrs. Florence Fannie",yes,female,Adult,2nd
"Kennedy, Mr. John",yes,male,Child,3rd
"Kent, Mr. Edward Austin",no,male,Adult,1st
"Kenyon, Mr. Frederick R",no,male,Adult,1st
"Kenyon, Mrs. Frederick R (Mario",yes,female,Child,1st
"Khalil, Mr. Betros",no,male,Child,3rd
"Khalil, Mrs. Betros (Zahie Mar",no,female,Child,3rd
"Kiernan, Mr. John",no,male,Child,3rd
"Kiernan, Mr. Philip",no,male,Child,3rd
"Kilgannon, Mr. Thomas J",no,male,Child,3rd
"Kimball, Mr. Edwin Nelson Jr",yes,male,Adult,1st
"Kimball, Mrs. Edwin Nelson Jr (",yes,female,Adult,1st
"Kink-Heilmann, Miss. Luise Gret",yes,female,Child,3rd
"Kink-Heilmann, Mr. Anton",yes,male,Adult,3rd
"Kink-Heilmann, Mrs. Anton (Luis",yes,female,Adult,3rd
"Kink, Miss. Maria",no,female,Adult,3rd
"Kink, Mr. Vincenz",no,male,Adult,3rd
"Kirkland, Rev. Charles Leonard",no,male,Adult,2nd
"Klaber, Mr. Herman",no,male,Child,1st
"Klasen, Miss. Gertrud Emilia",no,female,Child,3rd
"Klasen, Mr. Klas Albin",no,male,Youth,3rd
"Klasen, Mrs. (Hulda Kristina Eu",no,female,Adult,3rd
"Knight, Mr. Robert J",no,male,Child,2nd
"Kraeff, Mr. Theodor",no,male,Child,3rd
"Krekorian, Mr. Neshan",yes,male,Adult,3rd
"Kreuchen, Miss. Emilie",yes,female,Adult,1st
"Kvillner, Mr. Johan Henrik Joha",no,male,Adult,2nd
"Lahoud, Mr. Sarkis",no,male,Child,3rd
"Lahtinen, Mrs. William (Anna Sy",no,female,Adult,2nd
"Lahtinen, Rev. William",no,male,Adult,2nd
"Laitinen, Miss. Kristina Sofia",no,female,Adult,3rd
"Laleff, Mr. Kristo",no,male,Child,3rd
"Lam, Mr. Ali",yes,male,Child,3rd
"Lam, Mr. Len",no,male,Child,3rd
"Lamb, Mr. John Joseph",no,male,Child,2nd
"Landergren, Miss. Aurora Adelia",yes,female,Adult,3rd
"Lane, Mr. Patrick",no,male,Child,3rd
"Lang, Mr. Fang",yes,male,Adult,3rd
"Laroche, Miss. Louise",yes,female,Child,2nd
"Laroche, Miss. Simonne Marie An",yes,female,Child,2nd
"Laroche, Mr. Joseph Philippe Le",no,male,Adult,2nd
"Laroche, Mrs. Joseph (Juliette",yes,female,Adult,2nd
"Larsson-Rondberg, Mr. Edvard A",no,male,Adult,3rd
"Larsson, Mr. August Viktor",no,male,Adult,3rd
"Larsson, Mr. Bengt Edvin",no,male,Adult,3rd
"Leader, Dr. Alice (Farnham)",yes,female,Adult,1st
"Leeni, Mr. Fahim (Philip Zenni",yes,male,Adult,3rd
"Lefebre, Master. Henry Forbes",no,male,Child,3rd
"Lefebre, Miss. Ida",no,female,Child,3rd
"Lefebre, Miss. Jeannie",no,female,Child,3rd
"Lefebre, Miss. Mathilde",no,female,Child,3rd
"Lefebre, Mrs. Frank (Frances)",no,female,Child,3rd
"Lehmann, Miss. Bertha",yes,female,Youth,2nd
"Leinonen, Mr. Antti Gustaf",no,male,Adult,3rd
"Leitch, Miss. Jessie Wills",yes,female,Child,2nd
"Lemberopolous, Mr. Peter L",no,male,Adult,3rd
"Lemore, Mrs. (Amelia Milley)",yes,female,Adult,2nd
"Lennon, Miss. Mary",no,female,Child,3rd
"Lennon, Mr. Denis",no,male,Child,3rd
"Leonard, Mr. Lionel",no,male,Adult,3rd
"LeRoy, Miss. Bertha",yes,female,Adult,1st
"Lester, Mr. James",no,male,Adult,3rd
"Lesurer, Mr. Gustave J",yes,male,Adult,1st
"Levy, Mr. Rene Jacques",no,male,Adult,2nd
"Lewy, Mr. Ervin G",no,male,Child,1st
"Leyson, Mr. Robert William Norm",no,male,Adult,2nd
"Lievens, Mr. Rene Aime",no,male,Adult,3rd
"Lindahl, Miss. Agda Thorilda Vi",no,female,Adult,3rd
"Lindblom, Miss. Augusta Charlot",no,female,Adult,3rd
"Lindeberg-Lind, Mr. Erik Gustaf",no,male,Adult,1st
"Lindell, Mr. Edvard Bengtsson",no,male,Adult,3rd
"Lindell, Mrs. Edvard Bengtsson",no,female,Adult,3rd
"Lindqvist, Mr. Eino William",yes,male,Youth,3rd
"Lindstrom, Mrs. Carl Johan (Sig",yes,female,Adult,1st
"Linehan, Mr. Michael",no,male,Child,3rd
"Lines, Miss. Mary Conover",yes,female,Youth,1st
"Lines, Mrs. Ernest H (Elizabeth",yes,female,Adult,1st
"Ling, Mr. Lee",no,male,Adult,3rd
"Lingane, Mr. John",no,male,Old,2nd
"Lithman, Mr. Simon",no,male,Child,3rd
"Lobb, Mr. William Arthur",no,male,Adult,3rd
"Lobb, Mrs. William Arthur (Cord",no,female,Adult,3rd
"Lockyer, Mr. Edward",no,male,Child,3rd
"Long, Mr. Milton Clyde",no,male,Adult,1st
"Longley, Miss. Gretchen Fiske",yes,female,Adult,1st
"Loring, Mr. Joseph Holland",no,male,Adult,1st
"Louch, Mr. Charles Alexander",no,male,Adult,2nd
"Louch, Mrs. Charles Alexander (",yes,female,Adult,2nd
"Lovell, Mr. John Hall (Henry)",no,male,Youth,3rd
"Lulic, Mr. Nikola",yes,male,Adult,3rd
"Lundahl, Mr. Johan Svensson",no,male,Adult,3rd
"Lundin, Miss. Olga Elida",yes,female,Adult,3rd
"Lundstrom, Mr. Thure Edvin",yes,male,Adult,3rd
"Lurette, Miss. Elise",yes,female,Adult,1st
"Lyntakoff, Mr. Stanko",no,male,Child,3rd
"Mack, Mrs. (Mary)",no,female,Adult,2nd
"MacKay, Mr. George William",no,male,Child,3rd
"Madigan, Miss. Margaret Maggie",yes,female,Child,3rd
"Madill, Miss. Georgette Alexand",yes,female,Youth,1st
"Madsen, Mr. Fridtjof Arne",yes,male,Adult,3rd
"Maenpaa, Mr. Matti Alexanteri",no,male,Adult,3rd
"Maguire, Mr. John Edward",no,male,Adult,1st
"Mahon, Miss. Bridget Delia",no,female,Child,3rd
"Mahon, Mr. John",no,male,Child,3rd
"Maioni, Miss. Roberta",yes,female,Youth,1st
"Maisner, Mr. Simon",no,male,Child,3rd
"Makinen, Mr. Kalle Edvard",no,male,Adult,3rd
"Malachard, Mr. Noel",no,male,Child,2nd
"Mallet, Master. Andre",yes,male,Child,2nd
"Mallet, Mr. Albert",no,male,Adult,2nd
"Mallet, Mrs. Albert (Antoinette",yes,female,Adult,2nd
"Mamee, Mr. Hanna",yes,male,Child,3rd
"Mangan, Miss. Mary",no,female,Adult,3rd
"Mangiavacchi, Mr. Serafino Emil",no,male,Child,2nd
"Mannion, Miss. Margareth",yes,female,Child,3rd
"Mardirosian, Mr. Sarkis",no,male,Child,3rd
"Marechal, Mr. Pierre",yes,male,Child,1st
"Markoff, Mr. Marin",no,male,Adult,3rd
"Markun, Mr. Johann",no,male,Adult,3rd
"Marvin, Mr. Daniel Warner",no,male,Youth,1st
"Marvin, Mrs. Daniel Warner (Mar",yes,female,Youth,1st
"Masselmani, Mrs. Fatima",yes,female,Child,3rd
"Matinoff, Mr. Nicola",no,male,Child,3rd
"Matthews, Mr. William John",no,male,Adult,2nd
"Maybery, Mr. Frank Hubert",no,male,Adult,2nd
"Mayne, Mlle. Berthe Antonine (",yes,female,Adult,1st
"McCaffry, Mr. Thomas Francis",no,male,Adult,1st
"McCarthy, Miss. Catherine Kati",yes,female,Child,3rd
"McCarthy, Mr. Timothy J",no,male,Adult,1st
"McCormack, Mr. Thomas Joseph",yes,male,Child,3rd
"McCoy, Miss. Agnes",yes,female,Child,3rd
"McCoy, Miss. Alicia",yes,female,Child,3rd
"McCoy, Mr. Bernard",yes,male,Child,3rd
"McCrae, Mr. Arthur Gordon",no,male,Adult,2nd
"McCrie, Mr. James Matthew",no,male,Adult,2nd
"McDermott, Miss. Brigdet Delia",yes,female,Child,3rd
"McEvoy, Mr. Michael",no,male,Child,3rd
"McGough, Mr. James Robert",yes,male,Adult,1st
"McGovern, Miss. Mary",yes,female,Child,3rd
"McGowan, Miss. Anna Annie",yes,female,Youth,3rd
"McGowan, Miss. Katherine",no,female,Adult,3rd
"McKane, Mr. Peter David",no,male,Adult,2nd
"McMahon, Mr. Martin",no,male,Child,3rd
"McNamee, Mr. Neal",no,male,Adult,3rd
"McNamee, Mrs. Neal (Eileen O'Le",no,female,Youth,3rd
"McNeill, Miss. Bridget",no,female,Child,3rd
"Meanwell, Miss. (Marion Ogden)",no,female,Child,3rd
"Meek, Mrs. Thomas (Annie Louise",no,female,Child,3rd
"Mellinger, Miss. Madeleine Viol",yes,female,Youth,2nd
"Mellinger, Mrs. (Elizabeth Anne",yes,female,Adult,2nd
"Mellors, Mr. William John",yes,male,Youth,2nd
"Meo, Mr. Alfonzo",no,male,Adult,3rd
"Mernagh, Mr. Robert",no,male,Child,3rd
"Meyer, Mr. August",no,male,Adult,2nd
"Meyer, Mr. Edgar Joseph",no,male,Adult,1st
"Meyer, Mrs. Edgar Joseph (Leila",yes,female,Child,1st
"Midtsjo, Mr. Karl Albert",yes,male,Adult,3rd
"Miles, Mr. Frank",no,male,Child,3rd
"Millet, Mr. Francis Davis",no,male,Old,1st
"Milling, Mr. Jacob Christian",no,male,Adult,2nd
"Minahan, Dr. William Edward",no,male,Adult,1st
"Minahan, Miss. Daisy E",yes,female,Adult,1st
"Minahan, Mrs. William Edward (L",yes,female,Adult,1st
"Mineff, Mr. Ivan",no,male,Adult,3rd
"Minkoff, Mr. Lazar",no,male,Adult,3rd
"Mionoff, Mr. Stoytcho",no,male,Adult,3rd
"Mitchell, Mr. Henry Michael",no,male,Old,2nd
"Mitkoff, Mr. Mito",no,male,Child,3rd
"Mock, Mr. Philipp Edmund",yes,male,Adult,1st
"Mockler, Miss. Helen Mary Elli",yes,female,Child,3rd
"Moen, Mr. Sigurd Hansen",no,male,Adult,3rd
"Molson, Mr. Harry Markland",no,male,Adult,1st
"Montvila, Rev. Juozas",no,male,Adult,2nd
"Moor, Master. Meier",yes,male,Child,3rd
"Moor, Mrs. (Beila)",yes,female,Adult,3rd
"Moore, Mr. Clarence Bloomfield",no,male,Adult,1st
"Moore, Mr. Leonard Charles",no,male,Child,3rd
"Moran, Miss. Bertha",yes,female,Child,3rd
"Moran, Mr. Daniel J",no,male,Child,3rd
"Moran, Mr. James",no,male,Child,3rd
"Moraweck, Dr. Ernest",no,male,Adult,2nd
"Morley, Mr. Henry Samuel (Mr H",no,male,Adult,2nd
"Morley, Mr. William",no,male,Adult,3rd
"Morrow, Mr. Thomas Rowan",no,male,Child,3rd
"Moss, Mr. Albert Johan",yes,male,Child,3rd
"Moubarek, Master. Gerios",yes,male,Child,3rd
"Moubarek, Master. Halim Gonios",yes,male,Child,3rd
"Moubarek, Mrs. George (Omine A",yes,female,Child,3rd
"Moussa, Mrs. (Mantoura Boulos)",yes,female,Child,3rd
"Moutal, Mr. Rahamin Haim",no,male,Child,3rd
"Mudd, Mr. Thomas Charles",no,male,Youth,2nd
"Mullens, Miss. Katherine Katie",yes,female,Child,3rd
"Mulvihill, Miss. Bertha E",yes,female,Adult,3rd
"Murdlin, Mr. Joseph",no,male,Child,3rd
"Murphy, Miss. Katherine Kate",yes,female,Child,3rd
"Murphy, Miss. Margaret Jane",yes,female,Child,3rd
"Murphy, Miss. Nora",yes,female,Child,3rd
"Myhrman, Mr. Pehr Fabian Oliver",no,male,Youth,3rd
"Myles, Mr. Thomas Francis",no,male,Old,2nd
"Naidenoff, Mr. Penko",no,male,Adult,3rd
"Najib, Miss. Adele Kiamie Jane",yes,female,Youth,3rd
"Nakid, Miss. Maria (Mary)",yes,female,Child,3rd
"Nakid, Mr. Sahid",yes,male,Youth,3rd
"Nakid, Mrs. Said (Waika Mary",yes,female,Youth,3rd
"Nancarrow, Mr. William Henry",no,male,Adult,3rd
"Nankoff, Mr. Minko",no,male,Child,3rd
"Nasr, Mr. Mustafa",no,male,Child,3rd
"Nasser, Mr. Nicholas",no,male,Adult,2nd
"Nasser, Mrs. Nicholas (Adele Ac",yes,female,Youth,2nd
"Natsch, Mr. Charles H",no,male,Adult,1st
"Naughton, Miss. Hannah",no,female,Child,3rd
"Navratil, Master. Edmond Roger",yes,male,Child,2nd
"Navratil, Master. Michel M",yes,male,Child,2nd
"Navratil, Mr. Michel (Louis M",no,male,Adult,2nd
"Nenkoff, Mr. Christo",no,male,Child,3rd
"Nesson, Mr. Israel",no,male,Adult,2nd
"Newell, Miss. Madeleine",yes,female,Adult,1st
"Newell, Miss. Marjorie",yes,female,Adult,1st
"Newell, Mr. Arthur Webster",no,male,Adult,1st
"Newsom, Miss. Helen Monypeny",yes,female,Youth,1st
"Nicholls, Mr. Joseph Charles",no,male,Youth,2nd
"Nicholson, Mr. Arthur Ernest",no,male,Old,1st
"Nicola-Yarred, Master. Elias",yes,male,Youth,3rd
"Nicola-Yarred, Miss. Jamila",yes,female,Youth,3rd
"Nieminen, Miss. Manta Josefina",no,female,Adult,3rd
"Niklasson, Mr. Samuel",no,male,Adult,3rd
"Nilsson, Miss. Berta Olivia",yes,female,Youth,3rd
"Nilsson, Miss. Helmina Josefina",yes,female,Adult,3rd
"Nilsson, Mr. August Ferdinand",no,male,Adult,3rd
"Nirva, Mr. Iisakki Antino Aijo",no,male,Adult,3rd
"Niskanen, Mr. Juha",yes,male,Adult,3rd
"Norman, Mr. Robert Douglas",no,male,Adult,2nd
"Nosworthy, Mr. Richard Cater",no,male,Adult,3rd
"Nourney, Mr. Alfred (Baron von",yes,male,Youth,2nd
"Novel, Mr. Mansouer",no,male,Adult,3rd
"Nye, Mrs. (Elizabeth Ramell)",yes,female,Adult,2nd
"Nysten, Miss. Anna Sofia",yes,female,Adult,3rd
"Nysveen, Mr. Johan Hansen",no,male,Old,3rd
"O'Brien, Mr. Thomas",no,male,Child,3rd
"O'Brien, Mr. Timothy",no,male,Child,3rd
"O'Brien, Mrs. Thomas (Johanna ",yes,female,Child,3rd
"O'Connell, Mr. Patrick D",no,male,Child,3rd
"O'Connor, Mr. Maurice",no,male,Child,3rd
"O'Connor, Mr. Patrick",no,male,Child,3rd
"O'Donoghue, Ms. Bridget",no,female,Child,3rd
"O'Driscoll, Miss. Bridget",yes,female,Child,3rd
"O'Dwyer, Miss. Ellen Nellie",yes,female,Child,3rd
"O'Keefe, Mr. Patrick",yes,male,Child,3rd
"O'Leary, Miss. Hanora Norah",yes,female,Child,3rd
"O'Sullivan, Miss. Bridget Mary",no,female,Child,3rd
"Odahl, Mr. Nils Martin",no,male,Adult,3rd
"Ohman, Miss. Velin",yes,female,Adult,3rd
"Oliva y Ocana, Dona. Fermina",yes,female,Adult,1st
"Olsen, Master. Artur Karl",yes,male,Child,3rd
"Olsen, Mr. Henry Margido",no,male,Adult,3rd
"Olsen, Mr. Karl Siegwart Andrea",no,male,Adult,3rd
"Olsen, Mr. Ole Martin",no,male,Child,3rd
"Olsson, Miss. Elina",no,female,Adult,3rd
"Olsson, Mr. Nils Johan Goransso",no,male,Adult,3rd
"Olsson, Mr. Oscar Wilhelm",yes,male,Adult,3rd
"Olsvigen, Mr. Thor Anderson",no,male,Youth,3rd
"Omont, Mr. Alfred Fernand",yes,male,Child,1st
"Oreskovic, Miss. Jelka",no,female,Adult,3rd
"Oreskovic, Miss. Marija",no,female,Youth,3rd
"Oreskovic, Mr. Luka",no,male,Youth,3rd
"Osen, Mr. Olaf Elon",no,male,Youth,3rd
"Osman, Mrs. Mara",yes,female,Adult,3rd
"Ostby, Miss. Helene Ragnhild",yes,female,Adult,1st
"Ostby, Mr. Engelhart Cornelius",no,male,Old,1st
"Otter, Mr. Richard",no,male,Adult,2nd
"Ovies y Rodriguez, Mr. Servando",no,male,Adult,1st
"Oxenham, Mr. Percy Thomas",yes,male,Adult,2nd
"Padro y Manent, Mr. Julian",yes,male,Child,2nd
"Pain, Dr. Alfred",no,male,Adult,2nd
"Pallas y Castello, Mr. Emilio",yes,male,Adult,2nd
"Palsson, Master. Gosta Leonard",no,male,Child,3rd
"Palsson, Master. Paul Folke",no,male,Child,3rd
"Palsson, Miss. Stina Viola",no,female,Child,3rd
"Palsson, Miss. Torborg Danira",no,female,Child,3rd
"Palsson, Mrs. Nils (Alma Cornel",no,female,Adult,3rd
"Panula, Master. Eino Viljami",no,male,Child,3rd
"Panula, Master. Juha Niilo",no,male,Child,3rd
"Panula, Master. Urho Abraham",no,male,Child,3rd
"Panula, Mr. Ernesti Arvid",no,male,Youth,3rd
"Panula, Mr. Jaako Arnold",no,male,Youth,3rd
"Panula, Mrs. Juha (Maria Emilia",no,female,Adult,3rd
"Parker, Mr. Clifford Richard",no,male,Adult,2nd
"Parkes, Mr. Francis Frank",no,male,Child,2nd
"Parr, Mr. William Henry Marsh",no,male,Child,1st
"Parrish, Mrs. (Lutie Davis)",yes,female,Adult,2nd
"Partner, Mr. Austen",no,male,Adult,1st
"Pasic, Mr. Jakob",no,male,Adult,3rd
"Patchett, Mr. George",no,male,Youth,3rd
"Paulner, Mr. Uscher",no,male,Child,3rd
"Pavlovic, Mr. Stefo",no,male,Adult,3rd
"Payne, Mr. Vivian Ponsonby",no,male,Adult,1st
"Peacock, Master. Alfred Edward",no,male,Child,3rd
"Peacock, Miss. Treasteall",no,female,Child,3rd
"Peacock, Mrs. Benjamin (Edith N",no,female,Adult,3rd
"Pearce, Mr. Ernest",no,male,Child,3rd
"Pears, Mr. Thomas Clinton",no,male,Adult,1st
"Pears, Mrs. Thomas (Edith Wearn",yes,female,Adult,1st
"Pedersen, Mr. Olaf",no,male,Child,3rd
"Peduzzi, Mr. Joseph",no,male,Child,3rd
"Pekoniemi, Mr. Edvard",no,male,Adult,3rd
"Peltomaki, Mr. Nikolai Johannes",no,male,Adult,3rd
"Penasco y Castellana, Mr. Victo",no,male,Youth,1st
